Ref,Description,Ass. Level
OIS-01.1,"The CSP shall define, implement, maintain and continually improve an information security management system (ISMS), covering at least the operational units, locations and processes for providing the cloud service",Basic
OIS-01.2,The ISMS shall be in accordance to ISO/IEC 27001,Substantial
OIS-01.3,The ISMS shall have a valid certification according to ISO/IEC 27001 or to national schemes based on ISO 27001,High
OSI-01.4,"The CSP shall document the measures for documenting, implementing, maintaining and continuously improving the ISMS",Basic
OIS-01.5,"The documentation shall include at least:  Scope of the ISMS (Section 4.3 of ISO/IEC 27001);  Declaration of applicability (Section 6.1.3), and  Results of the last management review (Section 9.3).",Substantial
OIS-02.1,"The CSP shall perform a risk assessment as defined in RM-01 about the accumulation of responsibilities or tasks on roles or individuals, regarding the provision of the cloud service",Basic
OIS-02.2,"The risk assessment shall cover at least the following areas, insofar as these are applicable to the provision of the cloud service and are in the area of responsibility of the CSP:  Administration of rights profiles, approval and assignment of access and access authorisations (cf. IAM-01);  Development, testing and release of changes (cf. DEV-01, CCM-01); and  Operation of the system components.",Basic
OIS-02.3,"The CSP shall implement the mitigating measures defined in the risk assessment, privileging separation of duties, unless impossible for organisational or technical reasons, in which case the measures shall include the monitoring of activities in order to detect unauthorised or unintended changes as well as misuse and the subsequent appropriate action",Basic
OIS-02.4,The CSP shall automatically monitor the assignment of responsibilities and tasks to ensure that measures related to segregation of duties are enforced.,High
OIS-03.1,The CSP shall stay informed about current threats and vulnerabilities,Basic
OIS-03.2,The CSP shall maintain contacts with the competent authorities in terms of information security and relevant technical groups to stay informed about current threats and vulnerabilities,Substantial
OIS-03.3,The CSP shall maintain regular contact with its CAB and NCCA to stay informed about current threats and vulnerabilities,High
OIS-04.1,"The CSP shall include information security in the project management of all projects that may affect the service, regardless of the nature of the project",Basic
OIS-04.2,"The CSP shall perform a risk assessment according to RM-01 to assess and treat the risks on any project that may affect the provision of the cloud service, regardless of the nature of the project December 2020",Substantial
ISP-01.1,"The CSP shall document a global information security policy covering at least the following aspects:  the importance of information security, based on the requirements of cloud customers in relation to information security, as well as on the need to ensure the security of the information processed and stored by the CSP and the assets that support the services provided  the security objectives and the desired security level, based on the business goals and tasks of the Cloud Service Provider;  the commitment of the CSP to implement the security measures required to achieve the established security objectives.  the most important aspects of the security strategy to achieve the security objectives set; and  the organisational structure for information security in the ISMS application area.",Basic
ISP-01.2,The CSP’s top management shall approve and endorse the global information security policy,Basic
ISP-01.3,"The CSP shall review the global information security policy at least following any significant organizational change susceptible to affect the principles defined in the policy, including the approval and endorsement by top management",Substantial
ISP-01.4,The CSP shall review the global information security policy at least annually,High
ISP-01.5,The CSP shall communicate and make available the global information security policy to internal and external employees and to cloud service customers,Basic
ISP-02.1,"The CSP shall derive policies and procedures from the global information security policy for all relevant subject matters, documented according to a uniform structure, including at least the following aspects:  Objectives;  Scope;  Roles and responsibilities within the organization;  Roles and dependencies on other organisations (especially cloud customers and subservice organisations);  Steps for the execution of the security strategy; and  Applicable legal and regulatory requirements.",Basic
ISP-02.2,The policies and procedures shall include staff qualification requirements and the establishment of substitution rules in their description of roles and responsibilities within the organization,Substantial
ISP-02.3,The CSP shall communicate and make available the policies and procedures to all internal and external employees,Basic
ISP-02.4,The CSP’s top management shall approve the security policies and procedures or delegate this responsibility to authorized bodies,Basic
ISP-02.5,"In case of a delegation, the authorized bodies shall report at least annually to the top management on the security policies and their implementation",High
ISP-02.6,"The CSP’s subject matter experts shall review the policies and procedures for adequacy at least annually, when the global information security policy is updated, and when major changes may affect the security of the cloud service",Basic
ISP-02.7,"After an update of procedures and policies, they shall be approved before they become effective, and then communicated and made available to internal and external employees",Basic
ISP-03.1,"The CSP shall maintain a list of exceptions to the security policies and procedures, including associated controls.",Basic
ISP-03.2,The exceptions are limited in time,Basic
ISP-03.3,"The exceptions shall be subjected to the RM-01 risk management process, including approval of these exceptions and acceptance of the associated risks by the risk owners",Substantial
ISP-03.4,The exceptions to a security policy or procedure shall be approved by the top management or authorized body who approved the security policy or procedure,High
ISP-03.5,The list of exceptions shall be reviewed at least annually,Basic
ISP-03.6,"The approvals of the list of exceptions shall be reiterated at least annually, even if the list has not been updated",Substantial
ISP-03.7,The list of exceptions shall be automatically monitored to ensure that the validity of approved exceptions has not expired and that all reviews and approvals are up-to-date,High
RM-01.1,"The CSP shall document policies and procedures in accordance with ISP-02 for the following aspects:  Identification of risks associated with the loss of confidentiality, integrity, availability and authenticity of information within the scope of the ISMS and assigning risk owners;  Analysis of the probability and impact of occurrence and determination of the level of risk;  Evaluation of the risk analysis based on defined criteria for risk acceptance and prioritisation of handling;  Handling of risks through measures, including approval of authorisation and acceptance of residual risks by risk owners; and  Documentation of the activities implemented to enable consistent, valid and comparable results.",Basic
RM-01.2,The CSP shall use a documented risk analysis method that guarantees reproducibility and comparability of the approach,Substantial
RM-02.1,The CSP shall implement the policies and procedures covering risk assessment on the entire perimeter of the cloud service.,Basic
RM-02.2,The CSP shall make the results of the risk assessment available to relevant stakeholders,Basic
RM-02.3,"The CSP shall review and revise the risk assessment at least annually, and after each major change that may affect the security of the cloud service.",Basic
RM-02.4,The CSP shall monitor the evolution of the risk factors and revise the risk assessment results accordingly December 2020,High
RM-03.1,The CSP shall prioritize risks according to their criticality,Basic
RM-03.2,"The CSP shall define and implement a plan to treat risks according to their priority level by reducing or avoiding them through security controls, by sharing them, or by retaining them.",Basic
RM-03.3,The risk treatment plan shall reduce the risk level to a threshold that the risk owners deem acceptable (Residual Risk).,Basic
RM-03.4,The risk owners shall formally approve the treatment plan and in particular accept the residual risk,Substantial
RM-03.5,The CSP shall make the risk treatment plan available to relevant stakeholders,Basic
RM-03.6,"If the CSP shares risks with the CSC, the shared risks shall be associated to Complementary Customer Controls (CCCs) and described in the user documentation",Basic
RM-03.7,The CSP shall revise the risk treatment plan every time the risk assessment is revised.,Basic
RM-03.8,"The risk owners shall review for adequacy the analysis, evaluation and treatment of risks, including the approval of actions and acceptance of residual risks, after each revision of the risk assessment and treatment plans.",Substantial
HR-01.1,"The CSP shall classify information security-sensitive positions according to their level of risk, including positions related to IT administration and to the provisioning of the cloud service in the production environment, and all positions with access to cloud customer data or system components.",Basic
HR-01.2,The CSP shall include in its employment contracts or on a dedicated code of conduct or ethics an overarching agreement from internal and external employees to act ethically in their professional duties.,Basic
HR-01.3,"The CSP shall document, communicate and implement a policy that describes actions to take in the event of violations of policies and instructions or applicable legal and regulatory requirements, including at least the following aspects:  Verifying whether a violation has occurred; and  Consideration of the nature and severity of the violation and its impact",Basic
HR-01.4,"If disciplinary measures are defined in the policy mentioned in HR-01.3, then the internal and external employees of the CSP shall be informed about possible disciplinary measures and the use of these disciplinary measures shall be appropriately documented.",Basic
HR-02.1,"The competency and integrity of all internal and external employees of the CSP with access to cloud customer data or system components under the CSP’s responsibility, or who are responsible to provide the cloud service in the production environment shall be reviewed before commencement of employment in a position classified in objective HR-01. The extent of the review shall be proportional to the business context, the sensitivity of the information that will be accessed by the employee, and the associated risks.",Basic
HR-02.3,The competency and integrity of internal and external employees of the CSP shall be reviewed before commencement of employment in a position with a higher risk classification that their previous position,Substantial
HR-02.4,"The competency and integrity of internal and external employees of the CSP shall be reviewed annually for the employees in positions with the highest levels of risk classification, starting at a level to be defined in the human resource policy",High
HR-03.1,The CSP shall ensure that all internal and external employees are required by their employment terms and conditions to comply with all applicable information security policies and procedures,Basic
HR-03.2,"The CSP shall ensure that the employment terms for all internal and external employees include a non-disclosure provision, which shall cover any information that has been obtained or generated as part of the cloud service, even if anonymised and decontextualized.",Basic
HR-03.3,"The CSP shall give a presentation of all applicable information security policies and procedures to internal and external employees before granting them any access to customer data, the production environment, or any component thereof",Basic
HR-03.4,"All internal and external employees shall acknowledge in a documented form the information security policies and procedures presented to them before they are granted any access to customer data, the production environment, or any component thereof",Substantial
HR-03.5,The verification of the acknowledgement defined in HR-03.4 shall be automatically monitored in the processes and automated systems used to grant access rights to employees.,High
HR-04.1,The CSP shall define a security awareness and training program that covers the following aspects:  Handling system components used to provide the cloud service in the production environment in accordance with applicable policies and procedures;  Handling cloud customer data in accordance with applicable policies and instructions and applicable legal and regulatory requirements;  Information about the current threat situation; and  Correct behaviour in the event of security incidents.,Basic
HR-04.2,"The CSP shall define an awareness and training program on a target group-oriented manner, taking into consideration at least the position’s risk classification and technical duties",Substantial
HR-04.3,The CSP shall review their security awareness and training program based on changes to policies and instructions and the current threat situation,Basic
HR-04.4,The CSP shall update their security awareness and training program at least annually,Substantial
HR-04.5,The CSP shall ensure that all employees complete the security awareness and training program defined for them,Basic
HR-04.6,"The CSP shall ensure that all employees complete the security awareness and training program on a regular basis, and when changing target group",Substantial
HR-04.7,The CSP shall automatically monitor the completion of the security awareness and training program,High
HR-04.8,The CSP shall measure and evaluate the learning outcomes achieved through the awareness and training programme,Substantial
HR-04.9,"The CSP shall measure and evaluate in a target group-oriented manner the learning outcomes achieved through the awareness and training programme. The measurements shall cover quantitative and qualitative aspects, and the results shall be used to improve the awareness and training programme.",High
