controlId,model,nDCG,nDCG_nonZero,ground_truth_ids,predicted_ids
OIS-01,all-mpnet-base-v2,1.0,1.0,['OIS-01'],"['OIS-01', 'COM-03', 'OIS-02', 'COM-04', 'SSO-04', 'SIM-01', 'SIM-05', 'HR-03', 'PS-04', 'OIS-06', 'CRY-01', 'SP-03', 'HR-02', 'PSS-01', 'IDM-06', 'IDM-01', 'COS-03', 'IDM-08', 'SP-02', 'COS-01', 'SP-01', 'SSO-01', 'OPS-12', 'COS-02', 'AM-02', 'SIM-02', 'PS-03', 'PI-01', 'IDM-09', 'CRY-04', 'IDM-02', 'PSS-06', 'PS-01', 'OPS-04', 'IDM-03', 'SSO-03', 'OIS-05', 'CRY-02', 'DEV-01', 'OPS-02', 'HR-05', 'SIM-03', 'OIS-04', 'DEV-07', 'SSO-02', 'AM-06', 'IDM-05', 'OIS-07', 'COM-01', 'AM-03', 'OPS-17', 'BCM-01', 'OPS-10', 'OPS-18', 'OPS-20', 'PSS-04', 'PS-02', 'OPS-15', 'PSS-03', 'OPS-09', 'OPS-13', 'OPS-05', 'DEV-03', 'HR-06', 'IDM-07', 'PS-06', 'OPS-24', 'OPS-22', 'PSS-02', 'OPS-19', 'SIM-04', 'AM-01', 'OPS-21', 'INQ-01', 'SSO-05', 'OPS-11', 'OPS-07', 'CRY-03', 'HR-01', 'OPS-16', 'COM-02', 'OPS-23', 'OPS-03', 'INQ-04', 'DEV-08', 'COS-07', 'DEV-06', 'PI-02', 'AM-05', 'BCM-02', 'DEV-05', 'PSS-10', 'DEV-02', 'OPS-06', 'INQ-03', 'PSS-12', 'OPS-14', 'DEV-09', 'AM-04', 'BCM-04', 'PI-03', 'INQ-02', 'IDM-04', 'OPS-01', 'OPS-08', 'PSS-11', 'DEV-10', 'COS-06']"
OIS-02,all-mpnet-base-v2,1.0,1.0,['OIS-04'],"['OIS-04', 'HR-05', 'IDM-01', 'SSO-01', 'COM-02', 'IDM-02', 'IDM-06', 'OPS-02', 'AM-02', 'COS-06', 'DEV-05', 'OPS-03', 'IDM-05', 'OPS-04', 'OPS-12', 'PS-04', 'DEV-03', 'AM-05', 'COM-03', 'COS-02', 'SP-01', 'SP-03', 'INQ-01', 'SIM-02', 'HR-02', 'AM-06', 'OPS-01', 'OPS-10', 'SIM-01', 'SIM-04', 'COM-01', 'OIS-05', 'OIS-07', 'PS-01', 'SIM-05', 'DEV-01', 'PS-02', 'DEV-07', 'OPS-13', 'OPS-07', 'HR-03', 'PI-02', 'PSS-12', 'BCM-01', 'HR-06', 'OIS-06', 'IDM-09', 'DEV-09', 'OPS-24', 'SP-02', 'BCM-02', 'SSO-04', 'OPS-18', 'OPS-06', 'PS-03', 'CRY-01', 'AM-01', 'OPS-17', 'OPS-21', 'DEV-02', 'PS-06', 'OPS-16', 'COS-07', 'HR-01', 'OPS-22', 'AM-03', 'BCM-04', 'AM-04', 'OPS-08', 'CRY-03', 'SSO-03', 'DEV-08', 'OPS-05', 'PSS-01', 'INQ-02', 'INQ-04', 'OIS-01', 'IDM-03', 'SIM-03', 'OIS-02', 'PI-03', 'CRY-04', 'OPS-15', 'OPS-23', 'OPS-20', 'COS-03', 'COS-01', 'IDM-07', 'SSO-02', 'PSS-11', 'SSO-05', 'PI-01', 'OPS-11', 'INQ-03', 'OPS-09', 'CRY-02', 'IDM-04', 'DEV-06', 'COM-04', 'PSS-03', 'PSS-10', 'DEV-10', 'OPS-14', 'PSS-04', 'PSS-06', 'PSS-02', 'OPS-19', 'IDM-08']"
OIS-03,all-mpnet-base-v2,0.501265835341887,0.501265835341887,['OIS-05'],"['INQ-01', 'OIS-06', 'OIS-05', 'SIM-05', 'SP-03', 'BCM-01', 'SSO-01', 'SIM-02', 'COM-03', 'SP-02', 'SIM-01', 'INQ-02', 'SP-01', 'BCM-04', 'HR-03', 'SSO-04', 'COM-01', 'OPS-21', 'COM-04', 'CRY-01', 'SSO-03', 'SIM-03', 'INQ-03', 'INQ-04', 'AM-02', 'SIM-04', 'OIS-02', 'COM-02', 'PSS-01', 'OPS-12', 'PS-01', 'HR-06', 'OIS-01', 'OPS-18', 'IDM-02', 'IDM-05', 'PS-06', 'HR-01', 'DEV-01', 'IDM-06', 'COS-03', 'OIS-07', 'SSO-02', 'COS-02', 'PS-04', 'HR-05', 'DEV-09', 'HR-02', 'AM-03', 'DEV-03', 'OPS-20', 'DEV-05', 'CRY-04', 'OPS-13', 'OPS-02', 'OPS-17', 'OPS-10', 'IDM-07', 'IDM-01', 'OPS-04', 'OIS-04', 'OPS-16', 'CRY-02', 'BCM-02', 'PI-01', 'PS-03', 'OPS-01', 'SSO-05', 'PSS-03', 'OPS-03', 'DEV-02', 'OPS-07', 'OPS-19', 'IDM-09', 'OPS-22', 'PI-02', 'COS-01', 'OPS-06', 'CRY-03', 'AM-05', 'COS-07', 'PSS-02', 'PSS-10', 'AM-01', 'PSS-04', 'DEV-07', 'AM-06', 'PSS-11', 'IDM-03', 'PSS-12', 'OPS-15', 'OPS-11', 'OPS-09', 'PS-02', 'AM-04', 'IDM-04', 'OPS-24', 'DEV-06', 'OPS-08', 'OPS-23', 'COS-06', 'OPS-05', 'PI-03', 'IDM-08', 'DEV-08', 'PSS-06', 'OPS-14', 'DEV-10']"
OIS-04,all-mpnet-base-v2,0.20424960638019773,0.20424960638019773,"['OIS-05', 'OIS-06', 'OIS-07']","['COM-03', 'OIS-01', 'OIS-02', 'HR-02', 'OIS-06', 'COM-04', 'IDM-06', 'SP-03', 'CRY-01', 'DEV-01', 'SIM-05', 'SSO-04', 'COS-03', 'OIS-04', 'HR-03', 'IDM-08', 'PSS-01', 'SP-02', 'PS-01', 'DEV-07', 'PS-04', 'PSS-02', 'IDM-01', 'SSO-02', 'IDM-05', 'IDM-09', 'HR-05', 'AM-02', 'IDM-02', 'PS-03', 'OIS-07', 'OPS-12', 'SIM-01', 'COS-02', 'SP-01', 'SSO-01', 'HR-06', 'OPS-24', 'DEV-02', 'OIS-05', 'OPS-20', 'IDM-03', 'AM-06', 'SIM-02', 'OPS-18', 'COM-01', 'CRY-02', 'PSS-03', 'CRY-04', 'DEV-03', 'AM-03', 'OPS-09', 'PI-01', 'IDM-07', 'AM-05', 'DEV-08', 'COS-01', 'OPS-02', 'SSO-03', 'OPS-04', 'BCM-01', 'INQ-03', 'PS-06', 'COM-02', 'PSS-06', 'HR-01', 'SIM-03', 'CRY-03', 'OPS-22', 'OPS-19', 'INQ-04', 'OPS-07', 'OPS-13', 'DEV-06', 'SIM-04', 'OPS-05', 'OPS-15', 'PSS-04', 'AM-01', 'INQ-01', 'DEV-05', 'OPS-11', 'PSS-10', 'OPS-06', 'OPS-10', 'OPS-16', 'PI-02', 'OPS-23', 'DEV-09', 'PS-02', 'BCM-02', 'SSO-05', 'OPS-21', 'IDM-04', 'BCM-04', 'PI-03', 'OPS-17', 'DEV-10', 'OPS-01', 'OPS-08', 'OPS-03', 'INQ-02', 'PSS-12', 'COS-07', 'PSS-11', 'AM-04', 'COS-06', 'OPS-14']"
ISP-01,all-mpnet-base-v2,1.0,1.0,['OIS-02'],"['OIS-02', 'SP-02', 'SP-01', 'OIS-01', 'SIM-01', 'COM-03', 'HR-02', 'SSO-01', 'SSO-04', 'HR-03', 'OPS-04', 'DEV-01', 'SIM-05', 'CRY-01', 'COS-03', 'AM-02', 'OIS-06', 'PSS-01', 'COM-04', 'COS-02', 'PS-01', 'SP-03', 'COM-01', 'OIS-05', 'PS-04', 'IDM-01', 'OPS-18', 'IDM-06', 'IDM-02', 'OIS-07', 'OPS-10', 'COS-01', 'HR-05', 'SSO-02', 'OPS-20', 'IDM-08', 'IDM-05', 'OPS-12', 'SIM-02', 'IDM-09', 'SIM-04', 'BCM-02', 'OPS-02', 'COM-02', 'IDM-07', 'CRY-04', 'OIS-04', 'CRY-02', 'PS-03', 'PSS-03', 'PI-01', 'INQ-01', 'IDM-03', 'SSO-03', 'DEV-03', 'SIM-03', 'AM-03', 'HR-06', 'PS-06', 'OPS-15', 'INQ-04', 'OPS-06', 'OPS-11', 'OPS-22', 'OPS-21', 'OPS-09', 'PSS-04', 'OPS-19', 'AM-05', 'PI-02', 'OPS-05', 'COS-07', 'PSS-06', 'HR-01', 'AM-06', 'SSO-05', 'INQ-02', 'PSS-02', 'PSS-10', 'OPS-17', 'BCM-01', 'INQ-03', 'PSS-12', 'OPS-13', 'PS-02', 'OPS-24', 'CRY-03', 'DEV-05', 'OPS-07', 'DEV-02', 'DEV-06', 'OPS-16', 'OPS-23', 'DEV-07', 'PI-03', 'BCM-04', 'OPS-08', 'AM-01', 'COS-06', 'OPS-01', 'OPS-03', 'OPS-14', 'PSS-11', 'AM-04', 'DEV-08', 'IDM-04', 'DEV-09', 'DEV-10']"
ISP-02,all-mpnet-base-v2,0.5912352048230278,0.5912352048230278,"['SP-01', 'SP-02']","['AM-02', 'SP-01', 'OIS-06', 'DEV-01', 'SIM-01', 'SP-02', 'COM-03', 'OPS-04', 'SIM-05', 'CRY-01', 'SSO-01', 'OIS-02', 'SP-03', 'HR-02', 'COM-02', 'OPS-12', 'IDM-02', 'IDM-06', 'IDM-09', 'COS-03', 'PS-04', 'PS-01', 'HR-03', 'OPS-18', 'PSS-01', 'OPS-10', 'OIS-01', 'DEV-03', 'SSO-04', 'SIM-03', 'COM-01', 'IDM-01', 'COS-02', 'IDM-05', 'HR-05', 'PS-06', 'OPS-02', 'IDM-08', 'OIS-07', 'BCM-02', 'OPS-06', 'OPS-20', 'IDM-03', 'SSO-02', 'AM-03', 'OIS-05', 'CRY-04', 'PS-03', 'OIS-04', 'OPS-22', 'CRY-02', 'HR-06', 'SIM-02', 'DEV-05', 'COS-01', 'COM-04', 'AM-06', 'AM-05', 'OPS-08', 'OPS-23', 'OPS-13', 'OPS-11', 'SIM-04', 'PSS-03', 'DEV-02', 'OPS-05', 'AM-01', 'OPS-07', 'SSO-03', 'IDM-07', 'CRY-03', 'OPS-16', 'PSS-04', 'PSS-02', 'OPS-15', 'DEV-08', 'PSS-06', 'PI-01', 'DEV-07', 'BCM-04', 'OPS-17', 'INQ-01', 'BCM-01', 'OPS-19', 'DEV-06', 'OPS-21', 'HR-01', 'OPS-24', 'OPS-09', 'SSO-05', 'PI-02', 'PS-02', 'PSS-10', 'OPS-01', 'DEV-09', 'COS-07', 'PI-03', 'PSS-11', 'IDM-04', 'INQ-04', 'OPS-03', 'AM-04', 'PSS-12', 'INQ-03', 'OPS-14', 'INQ-02', 'DEV-10', 'COS-06']"
ISP-03,all-mpnet-base-v2,1.0,1.0,['SP-03'],"['SP-03', 'OPS-12', 'SIM-05', 'BCM-04', 'OPS-08', 'SIM-01', 'OPS-13', 'OPS-07', 'COM-02', 'PS-06', 'COM-03', 'SIM-02', 'BCM-02', 'SIM-03', 'OPS-23', 'OPS-10', 'DEV-06', 'OPS-06', 'OPS-20', 'AM-02', 'SIM-04', 'IDM-05', 'HR-05', 'BCM-01', 'IDM-06', 'CRY-01', 'DEV-05', 'PS-03', 'OPS-04', 'AM-05', 'CRY-03', 'OPS-19', 'PSS-04', 'OIS-06', 'AM-06', 'INQ-01', 'OPS-16', 'DEV-03', 'DEV-10', 'SSO-04', 'OPS-17', 'IDM-09', 'PSS-10', 'DEV-07', 'DEV-01', 'IDM-02', 'OPS-21', 'OPS-22', 'OPS-15', 'OPS-18', 'SSO-05', 'DEV-02', 'PI-02', 'PS-01', 'OIS-07', 'IDM-08', 'PS-04', 'SSO-01', 'SP-02', 'PSS-02', 'PSS-06', 'COS-03', 'CRY-04', 'PI-03', 'IDM-03', 'DEV-08', 'HR-03', 'COM-01', 'OPS-02', 'COS-01', 'PSS-11', 'COS-02', 'IDM-01', 'PS-02', 'DEV-09', 'OPS-09', 'CRY-02', 'SSO-02', 'INQ-04', 'OPS-14', 'OPS-05', 'HR-02', 'SP-01', 'COM-04', 'OIS-01', 'PSS-03', 'IDM-04', 'AM-04', 'HR-01', 'OIS-04', 'COS-06', 'INQ-03', 'HR-06', 'IDM-07', 'PSS-01', 'AM-01', 'SSO-03', 'OIS-05', 'AM-03', 'OIS-02', 'PSS-12', 'OPS-11', 'PI-01', 'OPS-01', 'COS-07', 'INQ-02', 'OPS-24', 'OPS-03']"
RM-01,all-mpnet-base-v2,1.0,1.0,['OIS-06'],"['OIS-06', 'SP-03', 'AM-02', 'OIS-07', 'COM-03', 'SIM-01', 'SP-01', 'DEV-05', 'SSO-01', 'SSO-02', 'BCM-02', 'OIS-02', 'OPS-04', 'DEV-01', 'SSO-04', 'AM-01', 'OPS-18', 'COM-02', 'SIM-05', 'CRY-01', 'DEV-03', 'SP-02', 'BCM-01', 'COS-03', 'BCM-04', 'OIS-05', 'OPS-20', 'IDM-06', 'OPS-06', 'HR-02', 'HR-03', 'PS-01', 'OIS-04', 'PSS-01', 'IDM-02', 'OPS-02', 'SSO-05', 'OPS-10', 'SIM-03', 'OIS-01', 'PS-06', 'PS-04', 'OPS-08', 'OPS-07', 'IDM-01', 'IDM-09', 'OPS-22', 'OPS-12', 'PSS-03', 'COM-04', 'HR-05', 'SIM-02', 'AM-05', 'CRY-04', 'COS-01', 'SIM-04', 'OPS-21', 'OPS-01', 'COM-01', 'OPS-17', 'AM-03', 'DEV-06', 'SSO-03', 'PS-02', 'PSS-02', 'OPS-09', 'PS-03', 'IDM-07', 'IDM-05', 'OPS-13', 'COS-02', 'OPS-19', 'OPS-11', 'IDM-08', 'DEV-08', 'IDM-03', 'OPS-03', 'CRY-02', 'CRY-03', 'AM-06', 'HR-06', 'OPS-24', 'PI-02', 'OPS-23', 'PSS-04', 'OPS-05', 'INQ-01', 'DEV-02', 'HR-01', 'PI-03', 'PI-01', 'PSS-12', 'PSS-10', 'PSS-11', 'OPS-16', 'COS-07', 'DEV-09', 'DEV-07', 'INQ-02', 'OPS-15', 'PSS-06', 'AM-04', 'IDM-04', 'INQ-04', 'OPS-14', 'INQ-03', 'DEV-10', 'COS-06']"
RM-02,all-mpnet-base-v2,0.5051284895111405,0.5051284895111405,['OIS-07'],"['OIS-06', 'DEV-05', 'SSO-02', 'OIS-07', 'COM-03', 'SP-03', 'OPS-18', 'SIM-05', 'OPS-20', 'COS-03', 'BCM-02', 'SIM-01', 'SSO-04', 'BCM-04', 'OIS-05', 'OIS-04', 'PSS-02', 'DEV-06', 'PSS-03', 'AM-02', 'SIM-02', 'AM-01', 'CRY-01', 'OPS-22', 'DEV-03', 'DEV-01', 'PS-01', 'HR-03', 'SSO-01', 'OPS-07', 'SIM-03', 'OPS-19', 'OPS-13', 'SP-02', 'INQ-01', 'PSS-01', 'COS-01', 'COM-02', 'OPS-04', 'OPS-08', 'OPS-12', 'IDM-06', 'SP-01', 'SSO-05', 'OPS-24', 'PS-06', 'OIS-01', 'BCM-01', 'OIS-02', 'OPS-06', 'COM-04', 'OPS-02', 'OPS-10', 'PS-04', 'AM-03', 'OPS-01', 'OPS-17', 'COM-01', 'PS-02', 'OPS-09', 'IDM-09', 'DEV-08', 'IDM-05', 'SIM-04', 'COS-02', 'IDM-07', 'SSO-03', 'AM-06', 'DEV-02', 'IDM-08', 'HR-02', 'IDM-02', 'PS-03', 'HR-05', 'PSS-10', 'HR-01', 'IDM-01', 'CRY-04', 'OPS-21', 'OPS-23', 'HR-06', 'PSS-04', 'CRY-02', 'PI-01', 'OPS-03', 'OPS-15', 'COS-07', 'OPS-11', 'AM-05', 'OPS-05', 'PI-02', 'CRY-03', 'PSS-11', 'INQ-04', 'DEV-07', 'DEV-09', 'OPS-16', 'INQ-02', 'PSS-12', 'INQ-03', 'IDM-03', 'PSS-06', 'DEV-10', 'AM-04', 'PI-03', 'OPS-14', 'IDM-04', 'COS-06']"
RM-03,all-mpnet-base-v2,0.5051284895111405,0.5051284895111405,['OIS-07'],"['OIS-06', 'DEV-05', 'SP-03', 'OIS-07', 'SIM-01', 'OPS-18', 'OPS-20', 'COM-03', 'BCM-02', 'SSO-02', 'BCM-04', 'OIS-05', 'SIM-03', 'SIM-05', 'OPS-22', 'BCM-01', 'DEV-03', 'OPS-04', 'SSO-04', 'AM-02', 'COS-03', 'PSS-03', 'SSO-01', 'SSO-05', 'SP-02', 'DEV-06', 'HR-03', 'AM-01', 'OPS-21', 'SP-01', 'DEV-01', 'OIS-04', 'OPS-08', 'OPS-06', 'SIM-02', 'COM-02', 'OPS-07', 'OPS-02', 'PSS-02', 'IDM-06', 'HR-05', 'DEV-08', 'OPS-17', 'PSS-01', 'CRY-01', 'SIM-04', 'OPS-19', 'PS-06', 'OPS-13', 'OIS-02', 'OPS-01', 'COM-04', 'OPS-12', 'COS-01', 'OPS-10', 'IDM-02', 'AM-05', 'OPS-03', 'PS-04', 'OIS-01', 'PS-02', 'OPS-05', 'PSS-10', 'IDM-09', 'PS-01', 'AM-03', 'IDM-07', 'HR-02', 'CRY-04', 'INQ-02', 'OPS-23', 'SSO-03', 'COM-01', 'OPS-09', 'DEV-02', 'IDM-05', 'INQ-01', 'OPS-24', 'PS-03', 'IDM-01', 'DEV-09', 'IDM-04', 'IDM-03', 'HR-06', 'CRY-02', 'IDM-08', 'PI-02', 'PSS-11', 'PSS-04', 'PI-03', 'AM-04', 'OPS-16', 'DEV-07', 'PI-01', 'AM-06', 'CRY-03', 'OPS-11', 'COS-02', 'COS-07', 'PSS-12', 'HR-01', 'OPS-15', 'INQ-04', 'PSS-06', 'DEV-10', 'INQ-03', 'OPS-14', 'COS-06']"
