description,controlId
"The Cloud Service Provider operates an information security management system (ISMS) in accordance with ISO/IEC 27001. The scope of the ISMS covers the Cloud Service Provider's organisational units, locations and procedures for providing the cloud service.
The measures for setting up, implementing, maintaining and continuously improving the ISMS are documented. 
The documentation includes:

• Scope of the ISMS (Section 4.3 of ISO/IEC 27001);

• Declaration of applicability (Section 6.1.3), and

• Results of the last management review (Section 9.3).",OIS-01
"The top management of the Cloud Service Provider has adopted an information security policy and communicated it to internal and external employees as well as cloud customers.
The policy describes:

• the importance of information security, based on the requirements of cloud customers in relation to information security;

• the security objectives and the desired security level, based on the business goals and tasks of the Cloud Service Provider;

• the most important aspects of the security strategy to achieve the security objectives set; and

• the organisational structure for information security in the ISMS application area.",ISP-01
"Conflicting tasks and responsibilities are separated based on an OIS-06 risk assessment to reduce the risk of unauthorised or unintended changes or misuse of cloud customer data processed, stored or transmitted in the cloud service.

The risk assessment covers the following areas, insofar as these are applicable to the provision of the Cloud Service and are in the area of responsibility of the Cloud Service Provider:

• Administration of rights profiles, approval and assignment of access and access authorisations (cf. IDM-01);

• Development, testing and release of changes (cf. DEV-01); and

• Operation of the system components.

If separation cannot be established for organisational or technical reasons, measures are in place to monitor the activities in order to detect unauthorised or unintended changes as well as misuse and to take appropriate actions.",OIS-02
The Cloud Service Provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19).,OIS-03
The Cloud Service Provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19).,OIS-04
"Policies and instructions for risk management procedures are documented, communicated and provided in accordance with SP-01 for the following aspects:

• Identification of risks associated with the loss of confidentiality, integrity, availability and authenticity of information within the scope of the ISMS and assigning risk owners;

• Analysis of the probability and impact of occurrence and determination of the level of risk;

• Evaluation of the risk analysis based on defined criteria for risk acceptance and prioritisation of handling;

• Handling of risks through measures, including approval of authorisation and acceptance of residual risks by risk owners; and

• Documentation of the activities implemented to enable consistent, valid and comparable results.",RM-01
"The Cloud Service Provider executes the process for handling risks as needed or at least once a year. The following aspects are taken into account when identifying risks, insofar as they are applicable to the cloud service provided and are within the area of responsibility of the Cloud Service Provider:

• Processing, storage or transmission of data of cloud customers with different protection needs;

• Occurrence of vulnerabilities and malfunctions in technical protective measures for separating shared resources;

• Attacks via access points, including interfaces accessible from public networks;

• Conflicting tasks and areas of responsibility that cannot be separated for organisational or technical reasons; and

• Dependencies on subservice organisations.

The analysis, evaluation and treatment of risks, including the approval of actions and acceptance of residual risks, is reviewed for adequacy at least annually by the risk owners.",RM-02
"The Cloud Service Provider executes the process for handling risks as needed or at least once a year. The following aspects are taken into account when identifying risks, insofar as they are applicable to the cloud service provided and are within the area of responsibility of the Cloud Service Provider:

• Processing, storage or transmission of data of cloud customers with different protection needs;

• Occurrence of vulnerabilities and malfunctions in technical protective measures for separating shared resources;

• Attacks via access points, including interfaces accessible from public networks;

• Conflicting tasks and areas of responsibility that cannot be separated for organisational or technical reasons; and

• Dependencies on subservice organisations.

The analysis, evaluation and treatment of risks, including the approval of actions and acceptance of residual risks, is reviewed for adequacy at least annually by the risk owners.",RM-03
"Policies and instructions (incl. concepts and guidelines) are derived from the information security policy and are documented according to a uniform structure. They are communicated and made available to all internal and external employees of the Cloud Service Provider in an appropriate manner.

The policies and instructions are version controlled and approved by the top management of the Cloud Service Provider or an authorised body.

The policies and instructions describe at least the following aspects:

• Objectives;

• Scope;

• Roles and responsibilities, including staff qualification requirements and the establishment of substitution rules;

• Roles and dependencies on other organisations (especially cloud customers and subservice organisations);

• Steps for the execution of the security strategy; and

• Applicable legal and regulatory requirements.",ISP-02
"Information security policies and instructions are reviewed at least annually for adequacy by the Cloud Service Provider's subject matter experts.

The review shall consider at least the following aspects:

• Organisational and technical changes in the procedures for providing the cloud service; and

• Legal and regulatory changes in the Cloud Service Provider's environment.

Revised policies and instructions are approved before they become effective.",ISP-02
