Domain Title,Control Title,Control Reference,Control Wording,Control Type,SOC  TSC Common Criteria,SOC  TSC Availability,SOC  TSC  Confidentiality,SOC TSC Privacy,ISO 27001 ISMS ,ISO 27002: 2013 Annex A,Cloud Service Customers ISO 27017,Cloud Service Providers ISO 27017,ISO 27018,PII Controller ISO 27701,PII Processor ISO 27701,ISO 22301,BSI C5,FedRAMP Tailored Control,Spanish ENS BASIC Control,Spanish ENS Medium Control,Spanish ENS High Control,ISMAP Control,PCI Control,Saudi CCC Control,EU Code of Conduct Control,NIST SP 800-171 Control,EUCS Basic Control,EUCS Substantial Control,EUCS High Control,SecNumCloud Control,IRAP Control
Audit Compliance,Control Self-Assessments,CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",Process,"CC1.5, CC2.1, CC2.2, CC2.3, CC3.1, CC3.2, CC4.1, CC5.1, CC5.2, CC5.3",,,,"Clause 6.1.1(e), Clause 6.1.2, Clause 6.1.3, Clause 7.1, Clause 8.3, Clause 9.1, Clause 9.2, Clause 9.3(c), Clause 10.1, Clause 10.2","A.12.7.1, A.18.1.1, A.18.2.1, A.18.2.2, A.18.2.3",,,,,,,"OIS-01, SP-01, SP-02, SP-03, SSO-04, COM-02, COM-03","AU-1, CA-2, CA-2 (1), CA-5, CA-7","org.2, org.3, op.mon.2",,op.pl.5,"12.7.1, 13.1.1.7, 17.1.3, 18.1.1, 18.2.1, 18.2.1.9.P, 18.2.1.12.P, 18.2.1.13.P, 18.2.2, 18.2.3,  3.1.4.1, 3.1.4.2, 3.1.4.3, 3.1.4.4, 3.1.5.2, 3.1.5.5, 3.1.6.1, 3.1.6.2,  4.4.1.1, 4.4.1.2, 4.4.6.1, 4.4.7.1, 4.4.7.2, 4.4.7.3, 4.4.7.4, 4.4.8.1, 4.4.8.2, 4.4.8.3, 4.4.8.4, 4.4.8.5, 4.5.1.1, 4.5.4.3, 4.5.5.2, 4.5.5.3, 4.6.1.1, 4.6.2.1, 4.6.2.2, 4.6.2.3, 4.6.2.4, 4.6.2.5, 4.6.2.6, 4.6.2.7, 4.6.3.1, 4.6.3.2, 4.6.3.3, 4.6.3.4, 4.7.1.1, 4.7.1.2, 4.7.1.3, 4.7.1.4, 4.7.1.5, 4.7.1.6, 4.7.1.7","6.4.6, 10.1","2-16-P-4, 1-3-T-1-1, 1-9-4-2, 2-1-2, 2-1-4, 1-1-3, 1-3-2, 1-8-1, 1-8-2, 1-8-3, 2-2-2, 2-2-4, 2-3-4, 2-4-4, 2-5-4, 2-6-4, 2-7-4, 2-8-4, 2-9-4, 2-10-4, 2-11-4, 2-12-4, 2-13-4, 2-14-4, 2-15-4, 3-1-4, 4-1-4, 4-2-4, 5-1-4","5.5.A, 5.5.B, 6.2.K, 6.3.A","3.12.1 Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.   3.12.2 Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.  3.12.3 Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.    3.14.1 Identify, report, and correct information and information system flaws in a timely manner.               ","OSI-01.4, OIS-02.3,  CO-01.1,  CO-02.1,  CO-03.1,  CO-03.2,  CO-03.6,  CO-04.1,  DOC-04.1","OIS-01.5, CO-01.2, CO-02.2,  CO-03.3, CO-04.2","OIS-01.3,  ISP-02.5,  PS-05.4,  OPS-19.4,  CO-03.4,  CO-03.5","18.2.1.a, 18.2.1.b, 18.3.a, 18.4.a",1163 1563 1564 0810 0336 1493
Audit Compliance,Security Policy Audit,CCF 2,"At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to:  • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",Process,,,,,,,,,,,,,,,,,,,"12.11.a, 12.11.b, 12.11.1",,,,OPS-10.1,"OPS-04.2, OPS-10.2, CS-08.3",,12.1.a,
Audit Compliance,Customer Audits,CCF 3,"If applicable, Systems documented procedures regarding customer-requested audits shall be defined, documented and transparently communicated to the customer; and where applicable, the mandated auditor. ",Process,,,,,,,,,,,,,,,,,,,,,"5.5.E, 5.5.F, 5.5.A, 5.5.C",,CO-02.1,,CO-02.3,,
Audit Compliance,Audit Program,CCF 4,"A three-year audit program is in place which defines the scope and frequency of audits in accordance with change management, policies, and risk assessment results.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,18.2.1.a,
Audit Compliance,Review of Audit Plan,CCF 5,Management performs a review of the audit plan on a quarterly basis.,People,,,,,,,,,,,,,,,,,,4.4.1.1,,,,,,,,,
Audit Compliance,KPI Audit,CCF 6,"Key performance indicators (KPI's - OFI, Minor, Major, pass, low, or high) are included as part of independent control self assessment performed by independent auditors at least annualy.",People,,,,,,,,,,,,,,,,,,3.1.4.1,,,,,,,,,
Application Security,Interface Threat Assessment,CCF 7,Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,Process,,,,,,,"A.12.2.1, A.12.5.1, A.12.6.1, A.13.1.1, A.14.1.3, A.14.2.8 ","A.12.2.1, A.12.5.1, A.12.6.1, A.13.1.1, A.14.1.3, A.14.2.8",,,,,"DEV-01, DEV-05 ","CA-2, CA-2 (1), IA-6, RA-5, SI-3","op.pl.2, op.exp.6",op.exp.3,op.exp.3,"6.1.5, 12.6.1, 13.1.1, 14.1.3, 14.2.8, 3.1.2.1, 3.1.2.2, 3.1.2.3, 3.1.4.1, 3.1.4.2, 3.1.4.4",,,"6.2.B, 6.2.K, 6.2.L, 6.2.M, 6.2.Q",,OIS-03.1,OPS-04.2,OPS-04.3,,1163 1563 1564 1240      
Application Security,Cybersecurity Legal and Regulatory Requirements,CCF 8,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems  legal department on an annual basis. ",Process,,,,,,A.18.1.1,,,,,,,"COM-01, INQ-01",,org.1,,,"13.2.4, 15.1.1, 15.1.1.14.B, 15.1.1.16.B, 15.1.2, 18.1.1, 18.1.1.5.P, 4.4.2.1, 4.4.3.1, 4.4.8.2, 3.1.4.2, 3.1.5.3",,"1-3-P-1-1, 2-6-P-1-2, 1-3-T-1-1, 1-1-1, 1-3-3, 1-3-4, 1-7-1, 1-8-1",,"3.3.1 Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.                 ","ISP-02.1,  ISP-02.6,  CKM-01.1,  CO-01.1,  DOC-03.1,  DOC-03.2","OPS-10.2, CO-01.2 ","OIS-01.3,  OPS-11.4,  PI-02.3,  CO-01.3,  CO-01.4","5.3.d, 18.1.a, 18.1.c, 18.1.e, 19.6.e",39
Application Security,Spanish Security Requirements,CCF 9,"When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",Technology,,,,,,,,,,,,,,,,mp.si.5,"op.pl.5, mp.com.2, mp.com.3, mp.si.2, mp.si.5, mp.info.4, mp.info.5, mp.s.2",,,,,,,,,,
Business Continuity & Resilience,Documented BC/DR,CCF 10,"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",Process,"CC3.2, CC7.4, CC7.5, CC9.1","A1.2, A1.3",,,,"A.11.2.3, A.12.2.1, A.12.3.1, A.17.1.1, A.17.1.2, A.17.1.3",CLD.12.1.5,,,,,,"PS-01, OPS-06, OPS-08, BCM-01, BCM-02, BCM-03, BCM-04","CP-1, CP-2, CP-4, CP-10",,"op.cont.1, mp.eq.9","op.ext.9, op.cont.1, op.cont.2, op.cont.3, mp.inf.9, mp.eq.9, mp.com.9, mp.s.9","11.2.3, 12.3.1, 17.1.1, 17.1.2, 17.1.3","12.10.1.a, 12.10.1.b, 12.10.2","3-1-P-1-1, 3-1-P-1-2, 3-1-T-1-1, 2-9-3-1, 3-1-3-1, 3-1-3-2, 3-1-3-3, 2-9-1, 2-9-2, 2-9-4, 3-1-1, 3-1-2, 3-1-4","6.2.E, 6.2.J, 6.2.K","3.6.1 Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.                ","RM-02.1b,  PS-02.5,  OPS-01.2,  OPS-06.1,  IM-01.2,  BC-01.1,  BC-02.1,  BC-03.1","PS-05.6, PS-05.2, OPS-06.2, OPS-08.2, OPS-08.3, BC-01.2, BC-01.3, BC-02.2,  BC-02.3, BC-03.2,  BC-03.3, BC-03.4, BC-04.1,  BC-04.2,  BC-04.3","PS-05.3,  PS-05.4,  OPS-08.5,  OPS-16.2,  BC-04.4","11.2.1.c, 11.2.2.c, 17.1.a, 17.1.b, 17.2.a, 17.3.a","1511, 1019, 1548, 1579, 1458, 1518  "
