EUCS Category,EUCS Control (2022),Code,C5.2020 GERMANY ,SecNumCloud FRANCE ,ISO 27002 ,ISO 27017 
A1 - Organisation of Information Security,OIS-01  - INFORMATION SECURITY MANAGEMENT SYSTEM,,OIS-01,,"5.4
5.21",
,OIS-02  - SEGREGATION OF DUTIES,OIS-02,OIS-04," 6.1
 6.2",5.3,CLD.6.3.1
,OIS-03  - CONTACT WITH AUTHORITIES AND INTEREST GROUPS,,OIS-05," 6.3
 6.4","5.5
5.6",CLD.6.3.1
,OIS-04 - INFORMATION SECURITY IN PROJECT MANAGEMENT,,"OIS-05
OIS-6
OIS-7", 6.5,5.8,CLD.6.3.1
A2 - Information Security Policies,ISP-01  - GLOBAL INFORMATION SECURITY POLICY,,OIS-02," 5.2
 5.1",5.1,
,ISP-02 - SECURITY POLICIES AND PROCEDURES,,"SP-01
SP-02","5.1
5.2",5.2,
,ISP-03  - EXCEPTIONS,ISP-03,SP-03,,,
A3 - Risk Management,RM-01  - RISK MANAGEMENT POLICY,,OIS-06,,5.2,
,RM-02  - RISK ASSESSMENT IMPLEMENTATION,,OIS-07, 5.3,5.2,
,RM-03  - RISK TREATMENT IMPLEMENTATION,,OIS-07,,5.2,
A4 - Human Resources,HR-01  - HUMAN RESOURCE POLICIES,,HR-01, 7.2,6.1,
,HR-02  - VERIFICATION OF QUALIFICATION AND TRUSTWORTHINESS,,HR-01, 7.1,6.1,
,HR-03  - EMPLOYEE TERMS AND CONDITIONS,HR-03,HR-02, 7.2,6.2,
,HR-04  - SECURITY AWARENESS AND TRAINING,HR-04,HR-03,,6.3,
,HR-05  - TERMINATION OR CHANGE IN EMPLOYMENT,HR-05,HR-05, 7.5,6.5,
,HR-06  - CONFIDENTIALITY AGREEMENTS,HR-06,HR-06,,"6.2
6.6",
A5 - Asset Management,AM-01  - ASSET INVENTORY,AM-01,AM-01,"8.1.1.
8.1.2",5.9,
,AM-02  - ACCEPTABLE USE AND SAFE HANDLING OF ASSETS POLICY,,AM-02, 8.5,5.1,
,AM-03  - COMMISSIONING AND DECOMMISSIONING ,AM-03,"AM-03
AM-04",8.1.4,7.10,
,"AM-04  - ACCEPTABLE USE, SAFE HANDLING AND RETURN OF ASSETS",AM-04,AM-05,,"5.11
5.12",CLD 8.1.5
,AM-05  - ASSET CLASSIFICATION AND LABELLING,,AM-06,"8.2
8.3","5.12
5.13",
A6 - Physical Security,PS-01  - PHYSICAL SECURITY PERIMETERS,,PS-01,11,7.1,
,PS-02  - PHYSICAL SITE ACCESS CONTROL,PS-02,"PS-03
PS-04", 11.2,"5.1
5.15
7.2",
,PS-03  - WORKING IN NON-PUBLIC AREAS,,, 11.4,7.6,
,PS-04  - EQUIPMENT PROTECTION,,PS-06," 11.6
 11.7
 11.8
 10.1","7.8
7.12",
,PS-05 - PROTECTION AGAINST EXTERNAL AND ENVIRONMENTAL THREATS,,"PS-01
PS-02", 11.3,7.5,
A7 - Operational security,OPS-01  - CAPACITY MANAGEMENT – PLANNING,,OPS-01,12.1,8.6,
,OPS-02 - CAPACITY MANAGEMENT – MONITORING,OPS-02,OPS-02,,8.6,
,OPS-03 - CAPACITY MANAGEMENT – CONTROLLING OF RESOURCES,,OPS-03,,8.6,CLD.12.4.5
,OPS-04  - PROTECTION AGAINST MALWARE – POLICIES,,OPS-04,12.4,"5.1
5.37",
,OPS-05  - PROTECTION AGAINST MALWARE – IMPLEMENTATION,OPS-05,OPS-05,12.4,8.7,
,OPS-06  - DATA BACKUP AND RECOVERY – POLICIES,,OPS-06,12.4,"5.1
5.37",
,OPS-07  - DATA BACKUP AND RECOVERY – MONITORING,OPS-07,OPS-07,12.4,8.13,
,OPS-08  - DATA BACKUP AND RECOVERY – REGULAR TESTING,,OPS-08,12.4,8.13,
,OPS-09  - DATA BACKUP AND RECOVERY – STORAGE,OPS-09,OPS-09,12.4,"8.13
8.14",
,OPS-10 - LOGGING AND MONITORING – POLICIES,,OPS-10,"12.1
12.6","5.1
5.37",
,OPS-11  - LOGGING AND MONITORING – DERIVED DATA MANAGEMENT,,OPS-11,"12.1
12.6","8.15
8.16",
,OPS-12  - LOGGING AND MONITORING – IDENTIFICATION OF EVENTS,OPS-12,OPS-13,"12.1
12.6",8.16,
