controlId,description
OPS-05.3H,"The CSP shall automatically monitor the systems covered by the malware protection and the configuration of the corresponding mechanisms to guarantee fulfilment of above requirements, and the antimalware scans to track detected malware or irregularities."
OPS-07.2H,"In order to check the proper application of these measures, the CSP shall automatically monitor the execution of data backups, and make available to the CSCs a service portal for monitoring the execution of backups when the CSC uses backup services with the CSP."
OPS-13.1H,"The CSP shall store all log data in an integrity-protected and aggregated form that allow its centralized evaluation, and shall automatically monitor the aggregation and deletion of logging and monitoring data."
OPS-18.6H,"The CSP shall provide and promote, where appropriate, automatic update mechanisms for the assets provided by the CSP that the CSCs have to install or operate under their own responsibility, to ease the rollout of patches and updates after an initial approval from the CSC."
OPS-09.2H,"When the backup data is transmitted to a remote location via a network, the transmission of the data takes place in an encrypted form that corresponds to the state-of-the-art (cf. CKM-02), and shall be automatically monitored by the CSP to verify the execution of the backup."
OPS-21.1H,"The CSP shall harden all the system components under its responsibility that are used to provide the cloud service, according to accepted industry standards, and automatically monitor these system components for conformity with hardening requirements."
OPS-06.1S,"The CSP shall define and implement policies and procedures according to ISP-02 for data backup and recovery, covering at least the following aspects:
(1)The extent and frequency of data backups and the duration of data retention are consistent with the contractual agreements with the CSCs and the CSP’s operational continuity requirements for recovery time objective (RTO) and recovery point objective (RPO);
(2) How data is backed up in encrypted, state-of-the-art form;
(3) How backup data is stored, moved, managed, and disposed of;
(4) How a CSC-initiated recovery or recovery test is performed;
(5) Restricted access to the backed-up data and the execution of restores only by authorised persons; and
(6) Tests of recovery procedures (cf. OPS-08)."
IAM-03.1H,"The CSP shall document and implement an automated mechanism to block user accounts after a certain period of inactivity, as defined in the policy of AIM-02, for user accounts, and automatically monitor its application. Such user accounts are:
(1) Of employees of the CSP as well as for system components involved in automated authorisation processes; and
(2) Associated with identities assigned to persons, identities assigned to non-human entities and identities assigned to multiple persons."
OIS-02.4H,The CSP shall automatically monitor the assignment of responsibilities and tasks to ensure that measures related to segregation of duties are enforced.
CO-03.6H,"The CSP shall implement automated monitoring to identify vulnerabilities and deviations, which shall be automatically reported to the appropriate CSP’s subject matter experts for immediate assessment and action."
CCM-04.1H,"The CSP shall approve any change to the cloud service, based on defined criteria and involving CSCs in the approval process according to contractual requirements, before they are made available to CSCs in the production environment, and the approval processes shall be automatically monitored."
IAM-03.6H,"The CSP shall automatically monitor the context of authentication attempts and flag suspicious events to authorized persons, as relevant."
HR-05.2H,"The CSP shall apply a specific procedure to revoke the access rights and process appropriately the accounts and assets of employees when their employment is terminated or changed, defining specific roles and responsibilities and including a documented checklist of all required steps; the CSP shall automatically monitor the application of this procedure."
OPS-12.1H,"The CSP shall automatically monitor log data in order to identify security events that might lead to security incidents, in accordance with the logging and monitoring requirements, and the identified events shall be reported to the appropriate departments for timely assessment and remediation."
CKM-02.1B,"The CSP shall define and implement strong cryptographic mechanisms for the transmission of CSC data over public networks, in order to protect the confidentiality, integrity and authenticity of data."
AM-01.1H,"The CSP shall define and implement policies and procedures for maintaining an inventory of assets, which shall be performed automatically and/or by the people or teams responsible for the assets to ensure complete, accurate, valid and consistent inventory throughout the asset life cycle."
AM-01.4H,The CSP shall automatically monitor the process performing the inventory of assets to guarantee it is up-to-date.
BC-01.1B,The CSP shall define policies and procedures according to ISP-02 establishing the strategy and guidelines to ensure business continuity and contingency management.
