Codice;Priorità;Titolo;Num_Domande;Domande;Categoria
Mp.com.1;MEDIUM;Perímetro seguro;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.1.1;MEDIUM;¿Se dispone de algún sistema que asegure el perímetro lógico? NOTA: Dispositivos del tipo Cortafuegos, o de naturaleza similar.;4;¿Se dispone de un sistema de protección perimetral que separe la red interna del exterior? | Caso de disponerse de varias sedes o centros de datos ¿disponen todos ellos de protección perimetral? | El sistema empleado para asegurar el perímetro ¿es atravesado por todo el tráfico, sin excepción? | ¿Requieren estar autorizados previamente todos los flujos de información a través del perímetro de seguridad de la organización?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2;MEDIUM;¿Se emplean redes privadas virtuales cuando la comunicación discurre por redes fuera del propio dominio de seguridad, por lo que deba cifrarse?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2;MEDIUM;Protección de la confidencialidad;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r1;MEDIUM;¿Se emplean algoritmos y parámetros autorizados por el CCN para cifrar las comunicaciones que discurran fuera del dominio de seguridad?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r2;MEDIUM;Respecto a las VPN ¿se emplean dispositivos con garantías adicionales?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r3;MEDIUM;;2;¿Se emplean dispositivos hardware en el establecimiento y utilización de la red privada virtual? | Para el establecimiento y utilización de la red privada virtual ¿se usan productos o servicios que cumplan lo señalado en la medida [op.pl.5] sobre componentes certificados?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r4;MEDIUM;¿Se emplean cifradores que cumplan con los requisitos establecidos en la guía CCN-STIC que sea de aplicación?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r5;MEDIUM;¿Se cifra toda la información transmitida?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3;MEDIUM;Protección de la integridad y de la autenticidad;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3;MEDIUM;¿Se emplean mecanismos para garantizar la autenticidad y la integridad de las comunicaciones con el exterior?;3;En comunicaciones con puntos exteriores al propio dominio de seguridad, ¿se asegura la autenticidad del otro extremo del canal de comunicación antes de intercambiar información? | ¿Se previenen ataques activos garantizando que al ser detectados se activarán los procedimientos previstos para el tratamiento del incidente? | ¿Se emplea como mecanismo de identificación y autenticación únicamente alguno los previstos en la normativa de aplicación del ordenamiento jurídico?;ANEXO II-MEDIDAS DE PROTECCIÓN
