Codice;Priorità;Titolo_ES;Titolo_EN;Num_Domande;Domande_ES;Domande_EN;Categoria
Mp.if.1;HIGH;Áreas separadas y con control de acceso;Separate areas with access control;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.1;HIGH;¿Se instala el equipamiento del sistema de información en áreas dotadas de adecuadas medidas de seguridad?;Is the information system equipment installed in areas with adequate security measures?;5;¿Se instala el equipamiento del sistema de información, en la medida de lo posible, en áreas separadas específicas para su función dotadas con medidas de seguridad, como puede ser un CPD o una sala técnica? | ¿Se controlan los accesos a CPD y salas técnicas de forma que sólo se pueda acceder por las entradas previstas? | ¿Se dispone de mecanismos de seguridad para restringir el acceso únicamente al personal autorizado? | Si el CPD es compartido por varias organizaciones, ¿se dispone de mecanismos de cierre en los armarios donde se ubique el equipamiento propio, o en las jaulas que albergan un conjunto de armarios, de forma que ningún tercero no autorizado pueda tener acceso? | ¿Se dispone de cámaras de videovigilancia (CCTV) y/o detectores de intrusión para proteger las instalaciones, especialmente fuera del horario laboral?;Is the information system equipment installed, to the extent possible, in separate areas specific to its function with security measures, such as a CPD or a technical room? | Are access to CPD and technical rooms controlled so that they can only be accessed through the designated entrances? | Are security mechanisms in place to restrict access to authorized personnel only? | If the CPD is shared by several organizations, are there locking mechanisms in the cabinets where the own equipment is located, or in the cages that house a set of cabinets, so that no unauthorized third party can have access? | Are video surveillance cameras (CCTV) and/or intrusion detectors available to protect the facilities, especially outside of working hours?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.2;HIGH;Identificación de las personas;Identification of people;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.2.1;HIGH;¿Se dispone de una sistemática de control de acceso a los CPD?;Is there a system for access control to the CPD?;5;¿Se dispone de procedimientos de solicitud de acceso a CPD y salas técnicas, gestionando la concesión de autorizaciones temporales y permanentes? | ¿Se dispone de un sistema de control de acceso que identifique a las personas que accedan a los CPD donde hay equipamiento esencial para el sistema de información, registrando las correspondientes entradas y salidas? | ¿Se les comunica a las visitas externas junto a la autorización de acceso (por ejemplo, por correo electrónico), un ejemplar de las normas de uso del CPD? | ¿Dichas normas de uso determinan que las visitas externas estén siempre acompañadas? | ¿Se dispone de mecanismos ágiles para poder determinar quién estaba presente en el CPD, o sala técnica, en el momento de producirse un incidente de seguridad?;Are there procedures for requesting access to CPD and technical rooms, managing the granting of temporary and permanent authorizations? | Is there an access control system that identifies people who access CPDs where there is essential equipment for the information system, recording the corresponding entries and exits? | Are external visitors communicated with access authorization (for example, by email), a copy of the CPD's rules of use? | Do these rules of use determine that external visits are always accompanied? | Are agile mechanisms available to determine who was present in the CPD, or technical room, at the time of a security incident?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.3;HIGH;Acondicionamiento de los locales;Conditioning of the premises;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.3.1;HIGH;¿Se acondicionan y controlan ambientalmente los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, así como se dispone en ellos de un trazado organizado e identificado de los cables de señal y de alimentación?;Are the premises where the equipment and essential components of the information systems are located conditioned and environmentally controlled, as well as an organized and identified layout of the signal and power cables?;5;¿Se controlan las condiciones de temperatura y humedad en los locales donde se ubica el equipamiento, de modo que se asegure su eficaz funcionamiento de acuerdo a las especificaciones del fabricante? | ¿Los equipos de climatización, están amparados por el correspondiente contrato de mantenimiento con revisiones periódicas? | ¿Se ha implementado en los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, la protección frente a las amenazas identificadas en el análisis de riesgos? | ¿Está protegido eficazmente el cableado en los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, de modo que se asegure su función frente a incidentes fortuitos o deliberados? | ¿Están organizados y peinados el cableado y las fibras ópticas en los armarios rack, mediante sistemas pasacables? ¿están etiquetados los extremos de cables y fibras? ¿las canalizaciones de cables entre racks están protegidas, organizadas y con la separación adecuada entre alimentación y datos?;Are the temperature and humidity conditions controlled in the premises where the equipment is located, so as to ensure its effective operation according to the manufacturer's specifications? | Are the air conditioning equipment covered by the corresponding maintenance contract with periodic reviews? | Has protection against the threats identified in the risk analysis been implemented in the premises where the equipment and essential components of the information systems are located? | Is the wiring in the premises where the essential equipment and components of the information systems are located effectively protected, so that its function is ensured against accidental or deliberate incidents? | Are the cabling and optical fibers in the rack cabinets organized and arranged, using cable management systems? Are cable and fiber ends labeled? Are the cable channels between racks protected, organized and with adequate separation between power and data?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4;HIGH;Energía eléctrica;Electrical energy;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4.1;HIGH;Los locales donde se ubican los sistemas de información y sus componentes esenciales (CPD, sala técnica), ¿disponen de tomas de energía eléctrica adecuadas, de modo que se garantice tanto el suministro como el correcto funcionamiento de las luces de emergencia?;Do the premises where the information systems and their essential components (CPD, technical room) are located have adequate electrical power outlets, so that both the supply and the correct functioning of the emergency lights are guaranteed?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4.r1.1;HIGH;En caso de fallo del suministro principal, ¿se garantiza el abastecimiento eléctrico durante el tiempo requerido, de forma armonizada con el BIA?;In the event of a main supply failure, is the electricity supply guaranteed for the required time, in a manner harmonized with the BIA?;3;En caso de no disponerse de generador eléctrico de gasóleo (grupo electrógeno), ¿la duración de las baterías del SAI permite soportar cortes de suministro lo suficientemente amplios para cubrir los requisitos del BIA o, al menos, para permitir una parada ordenada de los equipos? | ¿En caso de disponerse de generador eléctrico, ¿la capacidad del depósito de gasóleo o suministro de GAS es suficiente para mantener la alimentación eléctrica del equipamiento el tiempo requerido? ¿la duración de las baterías del SAI es suficiente para la puesta en marcha del generador? | ¿Los SAI (incluyendo las baterías internas o, en su caso, las bancadas externas) y los generadores eléctricos, en el caso de disponerse de éstos últimos, están amparados por un contrato de mantenimiento, con revisiones periódicas? ¿se dispone de partes de mantenimiento acordes a la legislación vigente y a las instrucciones de los fabricantes?;If there is no diesel electric generator (generator set), does the duration of the UPS batteries allow it to withstand power outages large enough to cover the BIA requirements or, at least, to allow an orderly shutdown of the equipment? | If an electric generator is available, is the capacity of the diesel tank or GAS supply sufficient to maintain the electrical power of the equipment for the required time? Is the duration of the UPS batteries sufficient to start the generator? | Are the UPS (including the internal batteries or, where applicable, the external banks) and the electrical generators, if the latter are available, covered by a maintenance contract, with periodic reviews? Are maintenance parts available in accordance with current legislation and manufacturers' instructions?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.5;HIGH;Protección frente a incendios;Fire protection;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.5.1;HIGH;Los locales donde se ubican los sistemas de información y sus componentes esenciales (CPD y salas técnicas) ¿están protegidos frente a los incendios atendiendo, al menos, a la normativa industrial de aplicación?;Are the premises where the information systems and their essential components (CPD and technical rooms) are located protected against fires, at least in accordance with the applicable industrial regulations?;4;¿Se dispone de sistemas de detección de incendios? | Si se activa un sensor (o en ocasiones dos de ellos para obviar falsos positivos), ¿la centralita de alarmas envía mensajes por los cauces previstos al personal de seguridad o de mantenimiento, a un centro externo coordinador de avisos de alarma, dispara una sirena, etc.? | ¿Se dispone de sistemas, manuales o automáticos, de extinción de incendios? | ¿Los sistemas de detección y extinción están amparados por un contrato de mantenimiento, con revisiones periódicas?;Are fire detection systems available? | If a sensor is activated (or sometimes two of them to avoid false positives), does the alarm switchboard send messages through the provided channels to security or maintenance personnel, to an external alarm notification coordination center, does it trigger a siren, etc.? | Are there manual or automatic fire extinguishing systems? | Are the detection and extinction systems covered by a maintenance contract, with periodic reviews?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.6;HIGH;Protección frente a inundaciones;Flood protection;3;¿Se dispone de sistemas de detección de humedad y de líquidos, habitualmente bajo el suelo técnico de CPD y salas técnicas, con atención a las pérdidas de los equipos de refrigeración ubicados en la sala, especialmente si funcionan con agua? | ¿Se dispone bombas de achique automático en pozuelas de recogida de aguas o, en su defecto, de la preinstalación para ubicar una bomba portátil? | ¿Los sistemas de detección de líquidos y de achique están amparados por un contrato de mantenimiento, con revisiones periódicas? ¿se realizan pruebas de arranque de las bombas de achique?;Are humidity and liquid detection systems available, usually under the technical floor of CPD and technical rooms, with attention to the losses of the refrigeration equipment located in the room, especially if they operate with water? | Are automatic drainage pumps available in water collection ponds or, failing that, pre-installation to locate a portable pump? | Are the liquid detection and drainage systems covered by a maintenance contract, with periodic reviews? Are bilge pump start-up tests carried out?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.7;HIGH;Registro de entrada y salida de equipamiento;Registration of entry and exit of equipment;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.7.1;HIGH;¿Se lleva un registro pormenorizado de cualquier entrada y salida de equipamiento esencial, incluyendo la identificación de la persona que autoriza el movimiento?;Is a detailed record kept of any entry and exit of essential equipment, including identification of the person authorizing the movement?;2;¿Se mantiene un registro de todo hardware y equipamiento esencial que entra y sale del CPD y salas técnicas, incluyendo la identificación de la persona que autoriza el movimiento y cualquier otra información que la Organización estime conveniente? | En caso de no ser el comportamiento habitual en la organización, ¿Se registra la entrada y salida de equipamiento portátil, por ejemplo, equipos personales y otros medios?;Is a record kept of all essential hardware and equipment that enters and leaves the CPD and technical rooms, including the identification of the person authorizing the movement and any other information that the Organization deems appropriate? | If this is not normal behavior in the organization, is the entry and exit of portable equipment, for example, personal equipment and other media, recorded?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.1;HIGH;Caracterización del puesto de trabajo;Job characterization;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
