ID,controlId,description
1,OPS-05.3H,This metric is used to assess if the antimalware solution is enabled on the respective resource.
2,OPS-05.3H,This metric is used to assess if the antimalware solution reports no irregularities.
3,OPS-07.2H,This metric is used to assess if backups are enabled for a cloud service/asset
3,OPS-09.2H,This metric is used to assess if backups are enabled for a cloud service/asset
4,OPS-07.2H,This metric is used to assess the configured backup retention (days) on a cloud service/asset
5,OPS-13.1H,This metric is used to assess if Anomaly Detection is enabled for the cloud service/asset
6,OPS-13.1H,This metric is used to assess if activity logs are enabled for the cloud service/asset.
7,OPS-13.1H,This metric is used to assess if Application logs are enabled for the cloud service/asset.
8,OPS-13.1H,This metric is used to assess if Boot logs are enabled for the cloud service/asset.
9,OPS-13.1H,This metric is used to assess if OS logs are enabled for the cloud service/asset.
10,OPS-13.1H,This metric is used to assess the configured log retention (days) on a cloud service/asset
11,OPS-13.1H,This metric is used to assess the configured log retention (days) on a cloud service/asset
12,OPS-18.6H,This metric is used to assess if automatic updates are enabled for the cloud service/asset
13,OPS-18.6H,This metric is used to assess the update interval of automatic updates for the cloud service/asset
14,OPS-09.2H,This metric is used to assess if state-of-the-art encryption protocols are used for traffic served from public networks.
14,OPS-21.1H,This metric is used to assess if state-of-the-art encryption protocols are used for traffic served from public networks.
15,OPS-21.1H,This metric is used to assess if a cloud service/asset has enabled WAF functionalities
16,OPS-09.2H,This metric is used to assess if the cloud service/asset accepts encrypted connections
16,OPS-21.1H,This metric is used to assess if the cloud service/asset accepts encrypted connections
16,CKM-02.1B,This metric is used to assess if the cloud service/asset accepts encrypted connections
16,CKM-02.1S,This metric is used to assess if the cloud service/asset accepts encrypted connections
16,CKM-02.1H,This metric is used to assess if the cloud service/asset accepts encrypted connections
17,OPS-09.2H,This metric is used to assess if the cloud service/asset enforces encrypted connections 
17,OPS-21.1H,This metric is used to assess if the cloud service/asset enforces encrypted connections 
17,CKM-02.1B,This metric is used to assess if the cloud service/asset enforces encrypted connections 
17,CKM-02.1S,This metric is used to assess if the cloud service/asset enforces encrypted connections 
17,CKM-02.1H,This metric is used to assess if the cloud service/asset enforces encrypted connections 
18,OPS-21.1H,This metric is used to assess if a service-level ACL has been enabled on a cloud service/asset
19,OPS-21.1H,This metric is used to assess the Java Runtime version used by the cloud service/asset
20,OPS-21.1H,This metric is used to assess the PHP version used by the cloud service/asset
21,OPS-21.1H,This metric is used to assess the Python version used by the cloud service/asset
22,OPS-05.3H,This metric states whether automatic notifications are enabled (e.g. e-mail) about malware threats. This relates to EUCS’ definition of “continuous monitoring”.
23,OPS-09.2H,This metric is used to assess if encryption at rest has been enabled on a cloud service / asset
23,OPS-21.1H,This metric is used to assess if encryption at rest has been enabled on a cloud service / asset
24,OPS-06.1S,"Check if data is backed up in encrypted, state-of-the-art form."
24,OPS-09.2H,"Check if data is backed up in encrypted, state-of-the-art form."
24,OPS-21.1H,"Check if data is backed up in encrypted, state-of-the-art form."
25,OPS-21.1H,This metric is used to assess if state-of-the-art encryption protocols are used for traffic served from public networks.
26,OPS-21.1H,This metric is used to assess if state-of-the-art encryption protocols are used for traffic served from public networks.
27,OPS-21.1H,This metric is used to assess if state-of-the-art encryption protocols are used for traffic served from public networks.
28,IAM-03.1H,This metric is used to assess if inactive user accounts are deactivated within a reasonable time frame.
