source_scheme,source_id,source_text,target_scheme,target_id,target_text,original_target_id
Cisco,CCF 1,"Control Self-Assessments - Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",SpanishENS,op.pl.5,shall be used.,op.pl.5
Cisco,CCF 1,"Control Self-Assessments - Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",SecNumCloud,18.2.1.a | 18.3.a | 18.4.a,"The service provider must document and implement an audit program over three years defining the perimeter and frequency of audits in accordance with change management, policies, and the results of risk assessment. The service provider must include in the audit program an audit qualified per year carried out by an audit provider for qualified information systems [PASSI]. The entire audit program must in particular cover: - the audit of the configuration of the technical infrastructure of the service. This audit is carried out by sampling and must include all types of equipment and servers present in the service information system; - the intrusion test of administration interfaces exposed on a public network; - the Intrusion test of the user interface for SaaS services; - If the service benefits from internal developments, the source code audit relating to the security functionalities implemented (the continuous approach must be favored). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider via the information security manager must regularly ensure the correct execution of all the security procedures placed under his responsibility in order to guarantee their compliance with security policies and standards. 6 Architecture, physical security audit and the organization of information security is not useful within the framework of the initial journal because also treated in the repository. 7 The delivery of the certificate is subject to the correction of critical vulnerabilities identified during the initial review. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must document and implement a policy making it possible to verify the technical compliance of the service to the requirements of this repository. This policy must define the objectives, methods, frequencies, expected results and corrective measures. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page","18.2.1.a, 18.2.1.b, 18.3.a, 18.4.a"
Cisco,CCF 2,"Security Policy Audit - At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to:  • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",SecNumCloud,12.1.a,"The service provider must document the operating procedures, keep them up to date and make them accessible to the staff concerned.",12.1.a
Cisco,CCF 4,"Audit Program - A three-year audit program is in place which defines the scope and frequency of audits in accordance with change management, policies, and risk assessment results.",SecNumCloud,18.2.1.a,"The service provider must document and implement an audit program over three years defining the perimeter and frequency of audits in accordance with change management, policies, and the results of risk assessment. The service provider must include in the audit program an audit qualified per year carried out by an audit provider for qualified information systems [PASSI]. The entire audit program must in particular cover: - the audit of the configuration of the technical infrastructure of the service. This audit is carried out by sampling and must include all types of equipment and servers present in the service information system; - the intrusion test of administration interfaces exposed on a public network; - the Intrusion test of the user interface for SaaS services; - If the service benefits from internal developments, the source code audit relating to the security functionalities implemented (the continuous approach must be favored). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",18.2.1.a
Cisco,CCF 8,"Cybersecurity Legal and Regulatory Requirements - Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems  legal department on an annual basis. ",SecNumCloud,18.1.a | 18.1.c | 18.1.e,"The service provider must identify the legal, regulatory and contractual requirements in force applicable to the service. In France, the service provider must at least consider the following texts: - personal data [law_il], [GDPR]; - professional secrecy [CP_ART_226_13], if necessary without prejudice to the application of article 40 paragraph 2 of the Code of Criminal Procedure relating to the report to a judicial authority; - breach of trust [CP_ART_314-1]; - the secret of private correspondence [CP_ART_226-15]; - involvement of privacy [CP_ART_226-1]; - fraudulent access or maintenance to an information system [CP_ART_323-1]. The service provider must document and implement the procedures to comply with the legal, regulatory and contractual requirements in force applicable to the service, as well as specific security needs (see requirement 8.3b)). The service provider must document and implement a process of active monitoring of the legal, regulatory and contractual requirements in force applicable to the service.","5.3.d, 18.1.a, 18.1.c, 18.1.e, 19.6.e"
Cisco,CCF 9,"Spanish Security Requirements - When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",SpanishENS,op.pl.5,shall be used.,op.pl.5
Cisco,CCF 10,"Documented BC/DR - A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",SecNumCloud,11.2.1.c | 11.2.2.c | 17.1.a | 17.1.b | 17.2.a | 17.3.a,The service provider must define and document derogatory physical access measures in an emergency. The service provider must define and document derogatory physical access measures in an emergency. The service provider must document and implement a plan of activity continuity taking into account information security. The service provider must revise the service continuity of the service continuity annually and with each major change that may have an impact on the service. The service provider must document and implement procedures to maintain or restore the exploitation of the service and ensure the availability of information at the level and on time for which the service provider has committed to the sponsor in the service agreement. The provider must document and implement a procedure to test the continuity of activities plan to ensure that it is relevant and effective in crisis.,"11.2.1.c, 11.2.2.c, 17.1.a, 17.1.b, 17.2.a, 17.3.a"
Cisco,CCF 12,"Business Impact Assessment - Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies. ",SecNumCloud,5.3.a | 5.3.c | 17.1.b,"The service provider must document an assessment of the risks covering the entire perimeter of the service. The service provider must take into account in risk assessment: - information management of the sponsor with different security needs; - the risks having impacts on the rights and freedoms of the persons concerned in the event of unauthorized access, unwanted modification and disappearance of personal data; - the risks of failure of the compartmentalization mechanisms of the resources of the technical infrastructure (memory, calculation, storage, network) shared between the sponsors; - the risks linked to the incomplete or unsecured erasure of data stored on memory or storage spaces shared between sponsors, in particular during the reallocations of memory and storage spaces; - the risks linked to the exposure of administration interfaces on a public network; - the risks of infringement of the confidentiality of the data of the sponsors by third parties involved in the provision of the service (suppliers, subcontractors, etc.): - the risks linked to natural and physical claims events; - the risks linked to the separation of tasks (see 6.2.a); - Risks linked to development environments (see 14.4.B). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must revise the service continuity of the service continuity annually and with each major change that may have an impact on the service.","5.3.a, 5.3.c, 17.1.b"
Cisco,CCF 13,Business Contingency Roles & Responsibilities - Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,SecNumCloud,11.2.1.c | 11.2.2.c,The service provider must define and document derogatory physical access measures in an emergency. The service provider must define and document derogatory physical access measures in an emergency.,"11.2.1.c, 11.2.2.c"
Cisco,CCF 16,"Service Storage and Processing - [The Organization] evaluates the data localization laws and requests from EU. If requested, Systems [The Organization] that store and process EU Data reside within the EU.",SecNumCloud,12.13.a | 19.2.b,"As part of teleodiagnostic or telemaintment of infrastructure components, considering the risks of confidentiality of the data of the sponsors, the service provider must: - verify that the person to whom access must be authorized has satisfied the verifications of the requirement 7.1.b; - In the case of an intervention carried out by a person who has not satisfied the checks of the requirement 7.1.B, implement a secure gateway (rebound position) by which the person must connect and allow a supervision of actions (authorization or prohibition of actions, request for explanations, etc.) in real time, by a person who provides NAGE computer service providers (SecnumCloud) - Page itself satisfies the checks of the requirement 7.1.b. The secure gateway will have to meet the safety objectives4 specified in [G_EXT]; - Consider the actions carried out, once the access is authorized, as actions of administration and journalist as such; - Delete the authorization to access the end of the intervention. The service provider must store and process the data of the sponsor within the European Union.","12.13.a, 19.2.b"
