anchor,positive,source_standard,control_id
"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.","The service provider must document and implement an audit program over three years defining the perimeter and frequency of audits in accordance with change management, policies, and the results of risk assessment. The service provider must include in the audit program an audit qualified per year carried out by an audit provider for qualified information systems [PASSI]. The entire audit program must in particular cover: - the audit of the configuration of the technical infrastructure of the service. This audit is carried out by sampling and must include all types of equipment and servers present in the service information system; - the intrusion test of administration interfaces exposed on a public network; - the Intrusion test of the user interface for SaaS services; - If the service benefits from internal developments, the source code audit relating to the security functionalities implemented (the continuous approach must be favored). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,18.2.1.a
"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.","The service provider via the information security manager must regularly ensure the correct execution of all the security procedures placed under his responsibility in order to guarantee their compliance with security policies and standards. 6 Architecture, physical security audit and the organization of information security is not useful within the framework of the initial journal because also treated in the repository. 7 The delivery of the certificate is subject to the correction of critical vulnerabilities identified during the initial review. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,18.3.a
"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.","The service provider must document and implement a policy making it possible to verify the technical compliance of the service to the requirements of this repository. This policy must define the objectives, methods, frequencies, expected results and corrective measures. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,18.4.a
"At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to: • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes","The service provider must document the operating procedures, keep them up to date and make them accessible to the staff concerned.",SecNumCloud,12.1.a
"A three-year audit program is in place which defines the scope and frequency of audits in accordance with change management, policies, and risk assessment results.","The service provider must document and implement an audit program over three years defining the perimeter and frequency of audits in accordance with change management, policies, and the results of risk assessment. The service provider must include in the audit program an audit qualified per year carried out by an audit provider for qualified information systems [PASSI]. The entire audit program must in particular cover: - the audit of the configuration of the technical infrastructure of the service. This audit is carried out by sampling and must include all types of equipment and servers present in the service information system; - the intrusion test of administration interfaces exposed on a public network; - the Intrusion test of the user interface for SaaS services; - If the service benefits from internal developments, the source code audit relating to the security functionalities implemented (the continuous approach must be favored). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,18.2.1.a
"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems legal department on an annual basis.","The service provider must identify the legal, regulatory and contractual requirements in force applicable to the service. In France, the service provider must at least consider the following texts: - personal data [law_il], [GDPR]; - professional secrecy [CP_ART_226_13], if necessary without prejudice to the application of article 40 paragraph 2 of the Code of Criminal Procedure relating to the report to a judicial authority; - breach of trust [CP_ART_314-1]; - the secret of private correspondence [CP_ART_226-15]; - involvement of privacy [CP_ART_226-1]; - fraudulent access or maintenance to an information system [CP_ART_323-1].",SecNumCloud,18.1.a
"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems legal department on an annual basis.","The service provider must document and implement the procedures to comply with the legal, regulatory and contractual requirements in force applicable to the service, as well as specific security needs (see requirement 8.3b)).",SecNumCloud,18.1.c
"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems legal department on an annual basis.","The service provider must document and implement a process of active monitoring of the legal, regulatory and contractual requirements in force applicable to the service.",SecNumCloud,18.1.e
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The service provider must define and document derogatory physical access measures in an emergency.,SecNumCloud,11.2.1.c
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The service provider must define and document derogatory physical access measures in an emergency.,SecNumCloud,11.2.2.c
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The service provider must document and implement a plan of activity continuity taking into account information security.,SecNumCloud,17.1.a
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The service provider must revise the service continuity of the service continuity annually and with each major change that may have an impact on the service.,SecNumCloud,17.1.b
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The service provider must document and implement procedures to maintain or restore the exploitation of the service and ensure the availability of information at the level and on time for which the service provider has committed to the sponsor in the service agreement.,SecNumCloud,17.2.a
"A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",The provider must document and implement a procedure to test the continuity of activities plan to ensure that it is relevant and effective in crisis.,SecNumCloud,17.3.a
"Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies.",The service provider must document an assessment of the risks covering the entire perimeter of the service.,SecNumCloud,5.3.a
"Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies.","The service provider must take into account in risk assessment: - information management of the sponsor with different security needs; - the risks having impacts on the rights and freedoms of the persons concerned in the event of unauthorized access, unwanted modification and disappearance of personal data; - the risks of failure of the compartmentalization mechanisms of the resources of the technical infrastructure (memory, calculation, storage, network) shared between the sponsors; - the risks linked to the incomplete or unsecured erasure of data stored on memory or storage spaces shared between sponsors, in particular during the reallocations of memory and storage spaces; - the risks linked to the exposure of administration interfaces on a public network; - the risks of infringement of the confidentiality of the data of the sponsors by third parties involved in the provision of the service (suppliers, subcontractors, etc.): - the risks linked to natural and physical claims events; - the risks linked to the separation of tasks (see 6.2.a); - Risks linked to development environments (see 14.4.B). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,5.3.c
"Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies.",The service provider must revise the service continuity of the service continuity annually and with each major change that may have an impact on the service.,SecNumCloud,17.1.b
Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,The service provider must define and document derogatory physical access measures in an emergency.,SecNumCloud,11.2.1.c
Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,The service provider must define and document derogatory physical access measures in an emergency.,SecNumCloud,11.2.2.c
"[The Organization] evaluates the data localization laws and requests from EU. If requested, Systems [The Organization] that store and process EU Data reside within the EU.","As part of teleodiagnostic or telemaintment of infrastructure components, considering the risks of confidentiality of the data of the sponsors, the service provider must: - verify that the person to whom access must be authorized has satisfied the verifications of the requirement 7.1.b; - In the case of an intervention carried out by a person who has not satisfied the checks of the requirement 7.1.B, implement a secure gateway (rebound position) by which the person must connect and allow a supervision of actions (authorization or prohibition of actions, request for explanations, etc.) in real time, by a person who provides NAGE computer service providers (SecnumCloud) - Page itself satisfies the checks of the requirement 7.1.b. The secure gateway will have to meet the safety objectives4 specified in [G_EXT]; - Consider the actions carried out, once the access is authorized, as actions of administration and journalist as such; - Delete the authorization to access the end of the intervention.",SecNumCloud,12.13.a
"[The Organization] evaluates the data localization laws and requests from EU. If requested, Systems [The Organization] that store and process EU Data reside within the EU.",The service provider must store and process the data of the sponsor within the European Union.,SecNumCloud,19.2.b
A multi-location or region strategy for production environments is employed to permit the resumption of operations at other [The Organization] facilities in the event of the loss of a facility.,The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1).,SecNumCloud,17.4.a
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources,SecNumCloud,12.6.a
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,The service provider must maintain events from the journalization for a minimum period of six months subject to compliance with legal and regulatory requirements.,SecNumCloud,12.6.c
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,It is recommended that the journalization system implemented by the service provider respects the recommendations of [nt_journal].,SecNumCloud,12.6.e
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,"The service provider must protect journalization equipment and journalized events against attacks on their availability, integrity or confidentiality, in accordance with chapter 3.2 of [nt_journal].",SecNumCloud,12.7.a
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,The service provider must manage the dimensioning of the storage space for all the equipment hosting one or more collection sources in order to allow conservation providers of IT services in clouds (SecnumCloud) - Referential of requirements Date Date Diffusion Criterial Page of journalized events provided for by the event journalization policy. This dimensioning management must take into account developments in the information system.,SecNumCloud,12.7.b
[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,"The service provider must document and implement an infrastructure allowing the analysis and correlation of events recorded by the journalization system in order to detect events likely to affect the security of the service system, in real time or a posteriori for events going up to six months.",SecNumCloud,12.9.a
An alert is sent to relevant staff when the audit logging process failed. Failures are addressed to resume system logging.,The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources,SecNumCloud,12.6.a
An alert is sent to relevant staff when the audit logging process failed. Failures are addressed to resume system logging.,The service provider must generate and collect the following events: - user activities related to information security,SecNumCloud,12.6.b
An alert is sent to relevant staff when the audit logging process failed. Failures are addressed to resume system logging.,The service provider must pay the alarms reported by the infrastructure of analysis and correlation of events at least daily.,SecNumCloud,12.9.c
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.","The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system.",SecNumCloud,12.4.a
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.","The service provider must document and implement a policy of safeguarding and restoring data under its responsibility within the framework of the service. This policy must provide for a daily safeguard of all data (information, software, configurations, etc.) under the responsibility of the service provider within the framework of the service.",SecNumCloud,12.5.a
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources,SecNumCloud,12.6.a
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",The service provider must generate and collect the following events: - user activities related to information security,SecNumCloud,12.6.b
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1).,SecNumCloud,17.4.a
"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",The service provider must document and implement an off-line backup procedure for the configuration of the technical infrastructure. sponsor,SecNumCloud,17.5.a
Databases are replicated to a secondary data base or data center. Alerts are configured to notify administrators if replication fails.,The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1).,SecNumCloud,17.4.a
Databases are replicated to a secondary data base or data center. Alerts are configured to notify administrators if replication fails.,The service provider must document and implement an off-line backup procedure for the configuration of the technical infrastructure. sponsor,SecNumCloud,17.5.a
"[The Organization] provides the specifications of its backup capabilities to its cloud service customers or upon request. Where applicable, the specifications include scope and schedule of backups, backup methods and data formats, encryption of backup data, retention periods for backup data, integrity verification of backup data, procedures and timescale of data restore, and location of backup data.",The service provider must document and make available to the sponsor a safeguard service of his data. IT service providers in clouds (SecnumCloud) - Defining Distribution Criteria References Applicable page applicable page,SecNumCloud,17.6.a
"A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",The service provider must operate in the state of the art for the type of activity selected: Use stable software benefiting from monitoring of safety and configuration fixes so as to obtain an optimal security level.,SecNumCloud,5.1.a
"A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.","The service provider must document an estimate of the risks prior to any project that may have an impact on the service, regardless of the nature of the project.",SecNumCloud,6.5.a
"A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.","The service provider must document and implement secure development rules for software and systems, and apply them to internal developments.",SecNumCloud,14.1.a
Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,"Insofar as a project affects or is likely to affect the level of service security, the service provider must warn the sponsor and inform him in writing of potential impacts, measures put in place to reduce these impacts as well as residual risks concerning him. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,6.5.b
Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,"The service provider must document and implement a procedure allowing, in the event of operations carried out by the service provider and which may have an impact on the security or availability of the service, to communicate the following information as soon as possible: - the scheduled date and time of the start and end of operations; - The nature of operations; - Impacts on security or availability of service; - Contact within the provider.",SecNumCloud,12.2.b
Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,"As part of a PAAS service, the service provider must inform the sponsor as soon as possible of any modification to come on software elements under his responsibility as soon as complete compatibility cannot be ensured.",SecNumCloud,12.2.c
Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,The service provider must inform the sponsor as soon as possible of any future modification on the elements of the service as long as it is likely to cause a loss of functionality for the sponsor. operating,SecNumCloud,12.2.d
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","The service provider must document an estimate of the risks prior to any project that may have an impact on the service, regardless of the nature of the project.",SecNumCloud,6.5.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","Insofar as a project affects or is likely to affect the level of service security, the service provider must warn the sponsor and inform him in writing of potential impacts, measures put in place to reduce these impacts as well as residual risks concerning him. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,6.5.b
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",The service provider must revise the access control policy annually and to each major change that may have an impact on the service.,SecNumCloud,9.1.b
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing.,SecNumCloud,12.2.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","The service provider must document and implement the measures to physically separate the environments linked to the production of the service of other environments, including development environments.",SecNumCloud,12.3.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","The service provider must document and implement secure development rules for software and systems, and apply them to internal developments.",SecNumCloud,14.1.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",The service provider must document and implement a procedure for controlling the changes to the service information system.,SecNumCloud,14.2.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",The service provider must document and implement a procedure for validating the changes to the service information system on a pre-production environment before their production.,SecNumCloud,14.2.b
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","The service provider must document and implement a procedure making it possible to test, prior to their production, all applications in order to verify the absence of any adverse effect on the activity or on the security of the service.",SecNumCloud,14.3.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","The service provider must submit information systems, new or updated, to conformity and safety functionality tests during development. He must document and implement a test procedure that identifies: - the tasks to be performed; - input data; Computer service providers in clouds (SecnUMCloud) - Date District version requirements Distribution Criterion page - The expected output results.",SecNumCloud,14.6.a
"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","In the event of a major change that may affect the service, the service provider must have an independent change review by a qualified information system security audit provider. This independent change review must in particular cover the following audit activities: - Architecture audit; - Organizational and physical audit; - audit of the configuration of the technical service infrastructure; - an intrusion test on the administration interfaces of the service made available to sponsors; - For a SaaS type service, an intrusion test on the interface provision of end users as part of the service catalog, as well as an audit of the source code relating to the implemented security features (authentication, sessions management, partitioning of partitions in the event of a multi-tenant mode). If the SaaS renders an information security service, a dedicated product certification is necessary.",SecNumCloud,18.2.3.a
System changes are communicated to authorized internal users via a ticketing system or any other documented process.,The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing.,SecNumCloud,12.2.a
Customers are notified of critical changes that may affect their processing.,"The service provider must document and implement measures to ensure that the conditions of installation, maintenance and maintenance of the equipment of the information system of the service hosted in private and sensitive zones are compatible with the requirements of confidentiality and availability of the service defined in the service agreement.",SecNumCloud,11.7.a
Customers are notified of critical changes that may affect their processing.,"The service provider must document and implement a procedure allowing, in the event of operations carried out by the service provider and which may have an impact on the security or availability of the service, to communicate the following information as soon as possible: - the scheduled date and time of the start and end of operations; - The nature of operations; - Impacts on security or availability of service; - Contact within the provider.",SecNumCloud,12.2.b
Customers are notified of critical changes that may affect their processing.,"As part of a PAAS service, the service provider must inform the sponsor as soon as possible of any modification to come on software elements under his responsibility as soon as complete compatibility cannot be ensured.",SecNumCloud,12.2.c
Customers are notified of critical changes that may affect their processing.,The service provider must inform the sponsor as soon as possible of any future modification on the elements of the service as long as it is likely to cause a loss of functionality for the sponsor. operating,SecNumCloud,12.2.d
Customers are notified of critical changes that may affect their processing.,"In the event of a major change that may affect the service, the service provider must have an independent change review by a qualified information system security audit provider. This independent change review must in particular cover the following audit activities: - Architecture audit; - Organizational and physical audit; - audit of the configuration of the technical service infrastructure; - an intrusion test on the administration interfaces of the service made available to sponsors; - For a SaaS type service, an intrusion test on the interface provision of end users as part of the service catalog, as well as an audit of the source code relating to the implemented security features (authentication, sessions management, partitioning of partitions in the event of a multi-tenant mode). If the SaaS renders an information security service, a dedicated product certification is necessary.",SecNumCloud,18.2.3.a
A configuration management system is in place to ensure that system configurations are deployed consistently throughout the production environment.,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system.",SecNumCloud,12.4.a
A configuration management system is in place to ensure that system configurations are deployed consistently throughout the production environment.,"The service provider must document and implement a procedure for managing the software environment configuration made available to the sponsor, in particular for their maintenance in security condition.",SecNumCloud,12.10.b
A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system.",SecNumCloud,12.4.a
A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,The service provider must document and implement a procedure to control the installation of software on service system equipment.,SecNumCloud,12.10.a
A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,The service provider must document and implement a procedure for controlling the changes to the service information system.,SecNumCloud,14.2.a
Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing.,SecNumCloud,12.2.a
Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system.",SecNumCloud,12.4.a
Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,The service provider must document and implement a procedure to control the installation of software on service system equipment.,SecNumCloud,12.10.a
Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,"The service provider must document and implement a procedure for managing the software environment configuration made available to the sponsor, in particular for their maintenance in security condition.",SecNumCloud,12.10.b
Policies governing the appropriate use and installation of software on [The Organization] workstations are communicated and reviewed periodically. Revision histories and review periods are defined within the policies themselves and the [The Organization] Policy Governance Policy.,The service provider must operate in the state of the art for the type of activity selected: Use stable software benefiting from monitoring of safety and configuration fixes so as to obtain an optimal security level.,SecNumCloud,5.1.a
Policies governing the appropriate use and installation of software on [The Organization] workstations are communicated and reviewed periodically. Revision histories and review periods are defined within the policies themselves and the [The Organization] Policy Governance Policy.,The service provider must document and implement a procedure to control the installation of software on service system equipment.,SecNumCloud,12.10.a
Version control procedures are set up to track dependencies of individual changes and to restore affected system components back to their previous state as a result of errors or identified vulnerabilities.,"The service provider must keep a history of the versions of software and systems (internal or external developments, commercial products) implemented to allow to reconstruct, if necessary in a test environment, a complete environment as it was implemented on a given date. The conservation time of this history must be in accordance with that of backups (see chapter 12.5). operating platform",SecNumCloud,14.2.c
