anchor_id,anchor_text,target_id,target_text,source,target,original_file
CCF 286,Supplier Management Program: A supplier management program is in place. Components of this program include: - Maintaining a list of critical third-party suppliers. - Requirements for third-party suppliers to maintain their own security and privacy practices and procedures.,pm-02.3,"Following the risk assessment of a subservice provider, the CSP shall define for every (CSOC) to be implemented by the subservice provider",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 59,Device and Hardware Transfer: Devices and hardware may only be transferred to external premises after it has been approved by authorized committees or bodies at [The Organization]. The transfer takes place securely according to the type of the assets to be transferred.,mp.si.2,Cryptography,Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 28,"SDLC Methodology: A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",6.5.a,"The service provider must document an estimate of the risks prior to any project that may have an impact on the service, regardless of the nature of the project.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 8,"Cybersecurity Legal and Regulatory Requirements: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems  legal department on an annual basis.",18.1.a,"The service provider must identify the legal, regulatory and contractual requirements in force applicable to the service. In France, the service provider must at least consider the following texts: - personal data [law_il], [GDPR]; - professional secrecy [CP_ART_226_13], if necessary without prejudice to the application of article 40 paragraph 2 of the Code of Criminal Procedure relating to the report to a judicial authority; - breach of trust [CP_ART_314-1]; - the secret of private correspondence [CP_ART_226-15]; - involvement of privacy [CP_ART_226-1]; - fraudulent access or maintenance to an information system [CP_ART_323-1].",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 175,Password Management & Configuration: Passwords for the corporate active directory is configured according to Systems policy.,iam-07.2,"The access to all environments of the CSP shall be authenticated, including non-production environments",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 310,Network Vulnerability Scans: Internal and external network vulnerability scans are performed at least monthly. Identified vulnerabilities are assigned for remediation and monitored for closure.,op.exp.3,"Security configuration management. Is the configuration of system components managed on an ongoing basis?. Is the configuration of system components managed continuously, maintaining the 'minimum functionality' rule at all times? Is the configuration of system components managed continuously, maintaining the 'least privilege' rule at all times? Is the configuration of the system components managed continuously, so that the system adapts to possible new, previously authorized needs? Is the configuration of system components managed continuously, so that the system reacts to possible reported vulnerabilities? Is the configuration of system components managed continuously so that the system reacts to potential incidents? Are the configuration of system components managed on an ongoing basis, so that security settings can only be edited by appropriately authorized personnel?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 45,Cloud Provider Geographical Locations: The cloud service provider informs cloud service customers of the geographical locations of the provider's organization and countries where the provider can store the customer data.,pss-01,"Guidelines and Recommendations for Cloud Customers: The Cloud Service Provider provides cloud customers with guidelines and recommendations for the secure use of the cloud service provided. The information contained therein is intended to assist the cloud customer in the secure configuration, installation and use of the cloud service, to the extent applicable to the cloud service and the responsibility of the cloud user. The type and scope of the information provided will be based on the needs of subject matter experts of the cloud customers who set information security requirements, implement them or verify the implementation (e.g. IT, Compliance, Internal Audit). The information in the guidelines and recommendations for the secure use of the cloud service address the following aspects, where applicable to the cloud service: . Instructions for secure configuration; . Information sources on known vulnerabilities and update mechanisms; . Error handling and logging mechanisms; . Authentication mechanisms; . Roles and rights concept including combinations that result in an elevated risk; and . Services and functions for administration of the cloud service by privileged users. The information is maintained so that it is applicable to the cloud service provided in the version intended for productive use.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.3,Identified vulnerabilities and deviations shall be subject to risk assessment in accordance with the risk management procedure (cf. RM-01) and follow-up measures are defined and tracked (cf. OPS-17).,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 297,Terms of Service: Consent is obtained for [The Organization] Terms of Service (ToS) prior to collecting customer or personal information.,op.ext.2,"Daily management. Are there mechanisms for monitoring and supervising the development of the service, as well as reporting and coordination in the event of possible incidents?. Is there a routine system in place to measure compliance with service obligations, including the procedure to neutralize any deviation outside the agreed tolerance range? Have a mechanism and the necessary coordination procedures been established to carry out the maintenance tasks of the systems included in the agreement, which will contemplate the occurrence of possible incidents and disasters? Has the supplier designated a point of contact (POC) for any service-related issues? Has the established contact mechanism been established, especially for reporting service incidents? Has the periodic delivery of service reports been agreed with suppliers? Are follow-up meetings held with certain relevant suppliers?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 171,Quarterly Access Reviews: Periodic access reviews are conducted by management for the in-scope system components to ensure that access is restricted appropriately. Tickets are created to remove or modify access as necessary in a timely manner.,iam-04.5,"The CSP shall document the incompatibility between access rights, and enforce these incompatibilities when access rights are granted or updated on a user account",Cisco,EUCS,training_data_step4_cisco_eucs.csv
