anchor_id,anchor_text,target_id,target_text,source,target
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",op.mon.2,"Metrics system. Taking into account the security category of the system, are the necessary data collected to know the degree of implementation of the security measures that are applicable and, where appropriate, in the case of organizations within the scope of the ENS to provide the annual report required by article 32 (INES Report)?",Cisco,Spanish ENS (EN)
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",op.pl.5,"Certified components. Is the Catalog of Information and Communication Technology Security Products and Services (CPSTIC) of the CCN used to select the products or services supplied by a third party that should be part of the system's security architecture?. Is the CPSTIC catalog used to select third-party products, or external services, that are part of the security architecture? If it does not exist in the CPSTIC catalogue, or in the event of any cause of force majeure, are other certified products used as indicated in art. 19 of RD 311/2022, of May 3? If the system provides a security service to a third party, under the scope of the ENS, has the product or products that provide said service been included in the CPSTIC after passing a qualification process, or do they provide a certification that meets the functional security and assurance requirements in accordance with the provisions of art. 19 of RD 311/2022, of May 3? In cases where there are no certified products or services, are the reference taxonomies taken into account and have the criteria to be carried out by those responsible for the organization been formalized?",Cisco,Spanish ENS (EN)
CCF 7,Interface Threat Assessment: Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,op.pl.2,"Security architecture. Are documentation and diagrams available in the area of ​​the information system, including physical facilities, equipment, communications and lines of defense?. Is documentation of the facilities available, including areas and access points? Is there documentation and diagrams of the lines of defense, interconnection points to other systems or other networks, including the Internet or public networks in general, firewalls, balancers, routers, network segmentation, etc.? For those who develop software (solutions with a certain complexity such as an ERP to manage town halls), are there diagrams with the structure of layers and modules of the solution, including the integration layers or interfaces to communicate with other solutions or elements, such as electronic signature, interoperability, etc.? Is there documentation of the user identification and authentication systems, including the use of agreed keys, passwords, identification cards, biometrics, or others of a similar nature, and the use of files or directories to authenticate the user and determine their access rights, including details of the access protocols used, such as, for example, LDAP?",Cisco,Spanish ENS (EN)
CCF 7,Interface Threat Assessment: Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,op.exp.3,"Security configuration management. Is the configuration of system components managed on an ongoing basis?. Is the configuration of system components managed continuously, maintaining the 'minimum functionality' rule at all times? Is the configuration of system components managed continuously, maintaining the 'least privilege' rule at all times? Is the configuration of the system components managed continuously, so that the system adapts to possible new, previously authorized needs? Is the configuration of system components managed continuously, so that the system reacts to possible reported vulnerabilities? Is the configuration of system components managed continuously so that the system reacts to potential incidents? Are the configuration of system components managed on an ongoing basis, so that security settings can only be edited by appropriately authorized personnel?",Cisco,Spanish ENS (EN)
CCF 7,Interface Threat Assessment: Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,op.exp.6,"Protection against harmful code. Is there a protection solution against harmful code (antivirus, EDR or similar solution) deployed on all workstations, servers and perimeter elements of the system?. Has the anti-malware solution installed in the user stations been configured appropriately, implementing real-time protection according to the manufacturer's recommendations and the characteristics of the operating environment? Has malware protection software been installed on all computers, including user stations, servers, and perimeter elements? Is it a corporate solution with a centralized management console? Is an administration password required or is there any other mechanism in place that prevents the end user from stopping or altering the operation of the solution? Does the license to use the solution cover all operational equipment present in the organization? Are there guarantees that all files from external sources will be analyzed before working with them? Is the anti-malware solution covered by a support and update agreement, both for the software and the detection database? Do security elements, such as firewalls (FW), have a specialized anti-malware solution that, for example, verifies web browsing and received emails? Are the configuration of the anti-malware solution(s) regularly verified to ensure they are appropriate for the operations of the protected systems? Are malware detection databases regularly checked to ensure that they are being updated as frequently as expected?",Cisco,Spanish ENS (EN)
CCF 9,"Spanish Security Requirements: When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",mp.com.2,"Confidentiality protection. Are virtual private networks used when communication runs over networks outside the security domain itself, so it must be encrypted?",Cisco,Spanish ENS (EN)
CCF 9,"Spanish Security Requirements: When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",mp.si.2,Cryptography,Cisco,Spanish ENS (EN)
CCF 9,"Spanish Security Requirements: When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",mp.com.3,"Protection of integrity and authenticity. Are mechanisms used to guarantee the authenticity and integrity of communications with the outside world?. In communications with points outside the security domain itself, is the authenticity of the other end of the communication channel ensured before exchanging information? Are active attacks prevented by guaranteeing that when they are detected, the procedures planned to deal with the incident will be activated? Are only those provided for in the regulations implementing the legal system used as identification and authentication mechanisms?",Cisco,Spanish ENS (EN)
CCF 9,"Spanish Security Requirements: When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",op.pl.5,"Certified components. Is the Catalog of Information and Communication Technology Security Products and Services (CPSTIC) of the CCN used to select the products or services supplied by a third party that should be part of the system's security architecture?. Is the CPSTIC catalog used to select third-party products, or external services, that are part of the security architecture? If it does not exist in the CPSTIC catalogue, or in the event of any cause of force majeure, are other certified products used as indicated in art. 19 of RD 311/2022, of May 3? If the system provides a security service to a third party, under the scope of the ENS, has the product or products that provide said service been included in the CPSTIC after passing a qualification process, or do they provide a certification that meets the functional security and assurance requirements in accordance with the provisions of art. 19 of RD 311/2022, of May 3? In cases where there are no certified products or services, are the reference taxonomies taken into account and have the criteria to be carried out by those responsible for the organization been formalized?",Cisco,Spanish ENS (EN)
CCF 9,"Spanish Security Requirements: When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",mp.si.5,"Erasure and destruction. Is secure deletion or destruction of media after use guaranteed?. Are media that are going to be reused for other information, or released to another organization, subject to secure deletion of their content that does not allow their recovery? When the nature of the medium does not allow secure erasure before using it for another purpose, is it destroyed in such a way that it cannot be reused for another system? Is there a record with identification of the deleted or destroyed media, the tool and method used, who did it, etc.? If secure deletion and/or destruction of media is outsourced to a third party, has a service contract or agreement been signed outlining the security measures applied? If the secure deletion and/or destruction of media is outsourced to a third party, does this entity provide a certificate of deletion or secure destruction stating the references and serial numbers of the media treated?",Cisco,Spanish ENS (EN)
