anchor_id,anchor_text,target_id,target_text,source,target
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",sp-01,"Documentation, communication and provision of policies and instructions: Policies and instructions (incl. concepts and guidelines) are derived from the information security policy and are documented according to a uniform structure. They are communicated and made available to all internal and external employees of the Cloud Service Provider in an appropriate manner. The policies and instructions are version controlled and approved by the top management of the Cloud Service Provider or an authorised body. The policies and instructions describe at least the following aspects: . Objectives; . Scope; . Roles and responsibilities, including staff qualification requirements and the establishment of substitution rules; . Roles and dependencies on other organisations (especially cloud customers and subservice organisations); . Steps for the execution of the security strategy; and . Applicable legal and regulatory requirements.",Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",sp-02,Review and Approval of Policies and Instructions: Information security policies and instructions are reviewed at least annually for adequacy by the Cloud Service Provider´s subject matter experts. The review shall consider at least the following aspects: . Organisational and technical changes in the procedures for providing the cloud service; and . Legal and regulatory changes in the Cloud Service Provider´s environment. Revised policies and instructions are approved before they become effective.,Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",sp-03,"Exceptions from Existing Policies and Instructions: Exceptions to the policies and instructions for information security as well as respective controls go through the OIS-06 risk management process, including approval of these exceptions and acceptance of the associated risks by the risk owners. The approvals of exceptions are documented, limited in time and are reviewed for appropriateness at least annually by the risk owners.",Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ois-01,"Information Security Management System (ISMS): The Cloud Service Provider operates an information security management system (ISMS) in accordance with ISO/IEC 27001. The scope of the ISMS covers the Cloud Service Provider´s organisational units, locations and procedures for providing the cloud service. The Information Security Management System (ISMS) has a valid certification according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz.",Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",com-03,"Internal audits of the information security management system: Subject matter experts check the compliance of the information security management system at regular intervals, at least annually, with the relevant and applicable legal, regulatory, self-imposed or contractual requirements (cf. COM-01) as well as compliance with the policies and instructions (cf. SP-01) within their scope of responsibility (cf. OIS-01) through internal audits (cf. § 9.2 of ISO/IEC 27001). Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk management procedure (cf. OIS-06) and follow-up measures are defined and tracked (cf. OPS-18). Internal audits are supplemented by procedures to automatically monitor applicable requirements of policies and instructions with regard to the following aspects: . Configuration of system components to provide the cloud service within the Cloud Service Provider´s area of responsibility; . Performance and availability of these system components; . Response time to malfunctions and security incidents; . Recovery time (time to completion of error handling); Identified vulnerabilities and deviations are automatically reported to the appropriate Cloud Service Provider’s subject matter experts for immediate assessment and action. Cloud customers can view compliance with selected contractual requirements in real time.",Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",sso-04,"Monitoring of compliance with requirements: The Cloud Service Provider monitors compliance with information security requirements and applicable legal and regulatory requirements in accordance with policies and instructions concerning controlling and monitoring of third-parties. Monitoring includes a regular review of the following evidence to the extent that such evidence is to be provided by third parties in accordance with the contractual agreements: . reports on the quality of the service provided; . certificates of the management systems´ compliance with international standards; . independent third-party reports on the suitability and operating effectiveness of their service-related internal control systems; and . Records of the third parties on the handling of vulnerabilities, security incidents and malfunctions. The frequency of the monitoring corresponds to the classification of the third party based on the risk assessment conducted by the Cloud Service Provider (cf. SSO-02). The results of the monitoring are included in the review of the third party´s risk assessment. Identified violations and deviations are subjected to analysis, evaluation and treatment in accordance with the risk management procedure (cf. OIS-07). The procedures for monitoring compliance with the requirements are supplemented by automatic procedures relating to the following aspects: . Configuration of system components; . Performance and availability of system components; . Response time to malfunctions and security incidents; and . Recovery time (time until completion of error handling). Identified violations and discrepancies are automatically reported to the responsible personnel or system components of the Cloud Service Provider for prompt assessment and action.",Cisco,BSI C5
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",com-02,"Policy for planning and conducting audits: Policies and instructions for planning and conducting audits are documented, communicated and made available in accordance with SP-01 and address the following aspects: . Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities; . Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and . Logging and monitoring of activities. The Cloud Service Provider grants its cloud customers contractually guaranteed information and audit rights.",Cisco,BSI C5
CCF 7,Interface Threat Assessment: Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,dev-05,"Risk assessment, categorisation and prioritisation of changes: In accordance with the applicable policies (cf. DEV-03), changes are subjected to a risk assessment with regard to potential effects on the system components concerned and are categorised and prioritised accordingly. In accordance with the contractual agreements, meaningful information about the occasion, time, duration, type and scope of the change is submitted to authorised bodies of the cloud customer so that they can carry out their own risk assessment before the change is made available in the production environment. Regardless of the contractual agreements, this is done for changes that have the highest risk category based on their risk assessment.",Cisco,BSI C5
CCF 7,Interface Threat Assessment: Threats to the applications and application programming interfaces and weaknesses with their design are identified and assessed based on the defined frequency by [The Organization] policies.,dev-01,"Policies for the development/procurement of information systems: Policies and instructions with technical and organisational measures for the secure development of the cloud service are documented, communicated and provided in accordance with SP-01. The policies and instructions contain guidelines for the entire life cycle of the cloud service and are based on recognised standards and methods with regard to the following aspects: . Security in Software Development (Requirements, Design, Implementation, Testing and Verification); . Security in software deployment (including continuous delivery); and . Security in operation (reaction to identified faults and vulnerabilities). In procurement, products are preferred which have been certified according to the ""Common Criteria for Information Technology Security Evaluation"" (short: Common Criteria - CC) according Evaluation Assurance Level EAL 4. If non-certified products are to be procured for available certified products, a risk assessment is carried out in accordance with OIS-07.",Cisco,BSI C5
CCF 8,"Cybersecurity Legal and Regulatory Requirements: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are documented and maintained by Systems legal department on an annual basis.",com-01,"Identification of applicable legal, regulatory, self-imposed or contractual requirements: The legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service as well as the Cloud Service Provider´s procedures for complying with these requirements are explicitly defined and documented.",Cisco,BSI C5
