anchor_id,anchor_text,target_id,target_text,source,target
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-02.2,"The CSP shall document and implement an audit programme over three years that defines the scope and the frequency of the audits in accordance with the management of change, policies, and the results of the risk assessment",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-01.2,The CSP shall document and implement procedures for complying to these contractual requirements,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-01.1,"The CSP shall document the legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.2,The internal audit shall check the compliance with the requirements of the scheme at the,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.5,"The CSP shall implement automated monitoring to identify vulnerabilities and deviations, which shall be automatically reported to the appropriate CSP’s subject matter experts for immediate assessment and action",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-04.1,The CSP shall regular inform its top management about the information security performance within the scope of the internal control system.,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",doc-04.1,"The CSP shall provide a justification for the assurance level targeted in the certification, based on the risks associated to the cloud service’s targeted users and use cases",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",isp-02.5,"In case of a delegation, the authorized bodies shall report at least annually to the top management on the security policies and their implementation",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ps-05.4,"The security requirements defined in PS-05.1 for datacentres shall include tests of physical protection and detection equipment, to be performed at least annually",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ops-19.4,"The tests are performed following a multi-annual work program, reviewed annually, that covers system components and security controls according to the evolution of the cloud service and of the threat landscape.",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.4,Internal audits shall be supplemented by procedures to automatically monitor compliance with applicable requirements of policies and instructions,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.6,"The CSP shall document specifically deviations that are nonconformities from the EUCS requirements, including an assessment of their severity, and keep track of their remediation",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-02.1,"The CSP shall document, communicate, make available and implement policies and procedures for planning and conducting audits, made in accordance with ISP-02 and addressing at least the following aspects:  Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities;  Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and  Logging and monitoring of activities.",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.1,The CSP shall perform at regular intervals and at least annually internal audits by subject matter experts to check the compliance of their internal security control system to the requirements defined in CO-01.,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-03.3,Identified vulnerabilities and deviations shall be subject to risk assessment in accordance with the risk management procedure (cf. RM-01) and follow-up measures are defined and tracked (cf. OPS-17).,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ois-01.5,"The documentation shall include at least:  Scope of the ISMS (Section 4.3 of ISO/IEC 27001);  Declaration of applicability (Section 6.1.3), and  Results of the last management review (Section 9.3).",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ois-01.3,The ISMS shall have a valid certification according to ISO/IEC 27001 or to national schemes based on ISO 27001,Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",ois-02.3,"The CSP shall implement the mitigating measures defined in the risk assessment, privileging separation of duties, unless impossible for organisational or technical reasons, in which case the measures shall include the monitoring of activities in order to detect unauthorised or unintended changes as well as misuse and the subsequent appropriate action",Cisco,EUCS
CCF 1,"Control Self-Assessments: Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",co-04.2,This information shall be included in the management review of the internal control system that is performed at least once a year December 2020,Cisco,EUCS
CCF 2,"Security Policy Audit: At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to: • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",ops-10.2,"The policies and procedures shall cover at least the following aspects: Substantial EUCS – CLOUD SERVICES SCHEME December 2020 Ref Description Ass. Level  Definition of events that could lead to a violation of the protection goals;  Specifications for activating, stopping and pausing the various logs;  Information regarding the purpose and retention period of the logs;  Define roles and responsibilities for setting up and monitoring logging;  Time synchronisation of system components; and  Compliance with legal and regulatory frameworks.",Cisco,EUCS
CCF 2,"Security Policy Audit: At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to: • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",ops-04.2,"The CSP shall create regular reports on the malware checks performed, which shall be reviewed and analysed by authorized bodies in the reviews of the policies related to malware",Cisco,EUCS
CCF 2,"Security Policy Audit: At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to: • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",cs-08.3,The CSP shall ensure that the configuration of networks matches network security policies regardless of the means used to create the configuration,Cisco,EUCS
CCF 2,"Security Policy Audit: At least quarterly, [The Organization] reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to: • log reviews • firewall rule-set reviews • applying configuration standards to new [The Organization] • responding to security alerts • change management processes",ops-10.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 that govern the logging and monitoring of events on system components under its responsibility",Cisco,EUCS
