anchor_id,anchor_text,target_id,target_text,source,target
NumberOfKnownLowVulnerabilities,NumberOfKnownLowVulnerabilities: The number of detected known vulnerabilities with low rating in the asset,ops-22,SEPARATION OF DATASETS IN THE CLOUD INFRASTRUCTURE: System components are hardened to reduce their attack surface and eliminate potential attack vectors.,Fabasoft Metrics,BSI C5
NumberOfKnownLowVulnerabilities,NumberOfKnownLowVulnerabilities: The number of detected known vulnerabilities with low rating in the asset,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,ops-22,SEPARATION OF DATASETS IN THE CLOUD INFRASTRUCTURE: System components are hardened to reduce their attack surface and eliminate potential attack vectors.,Fabasoft Metrics,BSI C5
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,ops-22,SEPARATION OF DATASETS IN THE CLOUD INFRASTRUCTURE: System components are hardened to reduce their attack surface and eliminate potential attack vectors.,Fabasoft Metrics,BSI C5
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,ops-22,SEPARATION OF DATASETS IN THE CLOUD INFRASTRUCTURE: System components are hardened to reduce their attack surface and eliminate potential attack vectors.,Fabasoft Metrics,BSI C5
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
RequiredReviewers,RequiredReviewers: Number of reviewers required to merge a pull request,pss-02,"SESSION MANAGEMENT: A suitable session management is used to protect confidentiality, availability, integrity and authenticity during interactions with the cloud service.",Fabasoft Metrics,BSI C5
IdentityPasswordPolicyEnabled,IdentityPasswordPolicyEnabled: Checks whether the standard password policy has been disabled for a user,idm-09,"Authentication mechanisms: System components in the Cloud Service Provider´s area of responsibility that are used to provide the cloud service, authenticate users of the Cloud Service Provider´s internal and external employees as well as system components that are involved in the Cloud Service Provider´s automated authorisation processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the Guideline for Key Management (cf. CRY-01). The password requirements are derived from a risk assessment and documented, communicated and provided in a password policy according to SP-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible. Access to the non-production environment requires two-factor or multi-factor authentication. Within the non-production environment, users are authenticated using passwords, digitally signed certificates, or procedures that provide at least an equivalent level of security.",Fabasoft Metrics,BSI C5
IdentityTimeSinceLastActivity,IdentityTimeSinceLastActivity: The last activity of an active user must be recent,idm-03,"Locking and withdrawal of user accounts in the event of inactivity or multiple failed logins: User accounts of internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider are automatically locked if they have not been used for a period of two months. Approval from authorised personnel or system components are required to unlock these accounts. Locked user accounts are automatically revoked after six months. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",Fabasoft Metrics,BSI C5
UserDisableMechanismAfterInactivity,UserDisableMechanismAfterInactivity,idm-03,"Locking and withdrawal of user accounts in the event of inactivity or multiple failed logins: User accounts of internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider are automatically locked if they have not been used for a period of two months. Approval from authorised personnel or system components are required to unlock these accounts. Locked user accounts are automatically revoked after six months. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",Fabasoft Metrics,BSI C5
PruneDisabledAccounts,PruneDisabledAccounts,idm-03,"Locking and withdrawal of user accounts in the event of inactivity or multiple failed logins: User accounts of internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider are automatically locked if they have not been used for a period of two months. Approval from authorised personnel or system components are required to unlock these accounts. Locked user accounts are automatically revoked after six months. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",Fabasoft Metrics,BSI C5
