source_id,source_text,target_id,target_text,label
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",op.pl.5,shall be used.,1
CCF 9,"When applicable, [The Organization], products or equipment will have their security functionalities evaluated in accordance with European or international standards, and whose certificates are recognized by the National Scheme for the Evaluation and Certification of Information Technology Security prior to being used.",op.pl.5,shall be used.,1
CCF 63,"Policies and instructions with technical and organizational safeguards are documented, communicated and describe the maintenance (especially remote maintenance), deletion, updating and re-use of assets in information processing.",mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 66,"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.",mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 70,"Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy. ",mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 111,Management has established defined roles and responsibilities to oversee the implementation of the security and control environment.,mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 114,"[The Organization] identifies geographies with legal and regulatory risks such as embargoed countries. Systems shall not operate out of, or have administrators that reside in such geographies.",mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 118,[The Organization] has an established security leadership team including key stakeholders in Systems Information Security Program; goals and milestones for deployment of the information security program are established and communicated to [The Organization]. ,mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 126,Information security policies are documented and define the information security rules and requirements for the service environment. These policies are reviewed at least annually to review requirements and updated as needed. Revision histories and review periods are defined within the policies themselves and the [The Organization] Policy Governance Policy. ,mp.info.2,"must be protected by specific security measures, shall bear the corresponding 
markings or metadata indicating the level of security of the information contained with the 
highest rating. 
Reinforcement R1 -Digital Watermark.",1
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",OIS-02.3,"The CSP shall implement the mitigating measures defined in the risk assessment, privileging separation of duties, unless impossible for organisational or technical reasons, in which case the measures shall include the monitoring of activities in order to detect unauthorised or unintended changes as well as misuse and the subsequent appropriate action",1
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",CO-01.1,"The CSP shall document the legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service",1
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",CO-02.1,"The CSP shall document, communicate, make available and implement policies and procedures for planning and conducting audits, made in accordance with ISP-02 and addressing at least the following aspects:  Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities;  Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and  Logging and monitoring of activities.",1
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",CO-03.1,The CSP shall perform at regular intervals and at least annually internal audits by subject matter experts to check the compliance of their internal security control system to the requirements defined in CO-01.,1
CCF 1,"Independent Control self-assessments are performed by independent auditors, at least annually, to gain reasonable assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings and tracked to resolution. Independent control self-assessments are reviewed by management and stored in a central repository and maintained.",CO-03.2,The internal audit shall check the compliance with the requirements of the scheme at the,1
